primary-date,transaction-ID,player,type,from-team,from-league,to-team,to-league,
1/5/1904,48340,kleir101,T,Toledo,(American Association),NYA,AL,
1/5/1904,48340,quice101,T,NYA,AL,Toledo,(American Association),
1/5/1904,48340,zaluj101,T,NYA,AL,Toledo,(American Association),
1/16/1904,3159,bergb102,P,CIN,NL,BRO,NL,
1/16/1904,41453,stahj101,P,BOS,AL,WS1,AL,
2/5/1904,53912,stewj101,P,St Paul,(American Association),BSN,NL,
2/11/1904,2659,beckj103,P,CIN,NL,SLN,NL,
2/17/1904,65292,cannr101,Fa,,,BSN,NL,
2/21/1904,27980,mcgud101,P,DET,AL,NYA,AL,
2/24/1904,57202,greme101,P,BSN,NL,DET,AL,
2/25/1904,48341,magog101,T,CHA,AL,Indianapolis,(American Association),
2/28/1904,57428,mcmaf101,P,BRO,NL,DET,AL,
3/2/1904,1422,aubrc101,P,BSN,NL,St Paul,(American Association),
3/5/1904,54013,wilhk101,F,,,BSN,NL,
3/6/1904,48342,,T,NYA,AL,SLA,AL,
3/6/1904,48342,howeh101,T,NYA,AL,SLA,AL,
3/6/1904,48342,powej105,T,SLA,AL,NYA,AL,
3/14/1904,65460,dextc101,P,BSN,NL,Louisville,(American Association),
3/16/1904,26301,malaj102,P,BSN,NL,Columbus,(American Association),
3/30/1904,57351,lee-w101,P,WS1,AL,PIT,NL,
4/2/1904,27676,mccrt101,R,BSN,NL,,,
4/20/1904,25507,loweb101,P,CHN,NL,PIT,NL,
4/24/1904,65133,aubrc101,P,BSN,NL,Providence,(Eastern),
4/30/1904,25508,loweb101,P,PIT,NL,DET,AL,
4/30/1904,48343,doylj103,P,BRO,NL,PHI,NL,
4/30/1904,48343,vanbd101,P,BRO,NL,PHI,NL,
5/3/1904,53903,stanj103,R,BSN,NL,,,
5/8/1904,43368,thonj101,P,WS1,AL,NYA,AL,
5/10/1904,19037,hickj106,P,CLE,AL,Columbus,(American Association),
5/30/1904,20178,huelf101,P,CHA,AL,DET,AL,
6/6/1904,13596,flahp101,P,CHA,AL,PIT,NL,
6/8/1904,64865,huelf101,Pr,DET,AL,CHA,AL,
6/16/1904,64866,huelf101,P,CHA,AL,SLA,AL,
6/17/1904,66490,stewj101,P,BSN,NL,St Paul,(American Association),
6/17/1904,48344,unglb101,T,NYA,AL,BOS,AL,
6/17/1904,48344,dougp102,T,BOS,AL,NYA,AL,
6/26/1904,54006,whitj105,L,Toronto,(Eastern),BSN,NL,
6/27/1904,26133,mages101,Fa,,,PHI,NL,
6/30/1904,66701,selbk101,T,WS1,AL,BOS,AL,
6/30/1904,66701,oneib101,T,BOS,AL,WS1,AL,
7/3/1904,42047,stovg101,P,Burlington,(Iowa State),CLE,AL,
7/4/1904,18906,herrl102,F,,,WS1,AL,
7/14/1904,48346,morac101,T,WS1,AL,SLA,AL,
7/14/1904,48346,hillh101,T,SLA,AL,WS1,AL,
7/14/1904,48346,huelf101,T,SLA,AL,WS1,AL,
7/20/1904,11741,dunkd101,P,WS1,AL,Louisville,(American Association),
7/20/1904,48347,ortha101,T,WS1,AL,NYA,AL,
7/20/1904,48347,hught103,T,NYA,AL,WS1,AL,
7/20/1904,48347,wolfb102,T,NYA,AL,WS1,AL,
7/20/1904,48348,barrs101,T,PHI,NL,CHN,NL,
7/20/1904,48348,corrf101,T,CHN,NL,PHI,NL,
7/22/1904,9085,cougb101,P,WS1,AL,DET,AL,
7/22/1904,11570,drill101,P,WS1,AL,DET,AL,
7/24/1904,7464,checc101,P,St Paul,(American Association),CIN,NL,
7/26/1904,5600,buelf101,P,DET,AL,CLE,AL,
8/1/1904,8846,corbj101,R,SLN,NL,,,
8/1/1904,38707,scand101,P,PIT,NL,BRO,NL,
8/3/1904,3387,bevim101,L,NYA,AL,DET,AL,
8/5/1904,7016,cassh101,P,Bloomington,(Three-I),PIT,NL,
8/7/1904,13220,ferrc101,R,CLE,AL,,,
8/7/1904,48352,donlm101,T,CIN,NL,NY1,NL,
8/7/1904,48352,mccom104,T,NY1,NL,PIT,NL,
8/7/1904,48352,sebrj101,T,PIT,NL,CIN,NL,
8/7/1904,48353,carrc106,T,DET,AL,CLE,AL,
8/7/1904,48353,hickc101,T,CLE,AL,DET,AL,
8/10/1904,32,abbof101,P,CLE,AL,Columbus,(American Association),
8/11/1904,20712,jackj103,P,St Paul,(American Association),CLE,AL,
8/13/1904,16665,grote102,Fo,,,CHN,NL,
8/14/1904,11445,doylj103,R,PHI,NL,,,
8/17/1904,66032,marsd102,L,NY1,NL,BSN,NL,
8/18/1904,21993,kahln101,P,Colorado Springs,(Western),CLE,AL,
8/27/1904,29367,mitcf101,P,PHI,NL,BRO,NL,
8/27/1904,44893,vinsr101,P,Providence,(Eastern),CLE,AL,
8/30/1904,28143,mcmaf101,P,Montreal,(Eastern),NYA,AL,
8/31/1904,30384,mullj102,L,PHA,AL,WS1,AL,
9/1/1904,3640,blanc103,D,Seattle,(PCL),CIN,NL,
9/1/1904,5544,buchj103,D,Oakland,(PCL),SLA,AL,
9/1/1904,14379,frise101,D,Seattle,(PCL),SLA,AL,
9/1/1904,19396,hoggb101,D,Spokane,(Pacific National),NYA,AL,
9/1/1904,23138,koehb101,D,Atlanta,(Southern Association),SLA,AL,
9/1/1904,26368,malob101,D,Minneapolis,(American Association),CHN,NL,
9/1/1904,32548,overo101,D,Tacoma,(PCL),CIN,NL,
9/1/1904,36990,rocki101,D,Spokane,(Pacific National),SLA,AL,
9/1/1904,44573,vanzi101,D,Nashua,(New England),SLA,AL,
9/2/1904,65303,carnp101,R,BSN,NL,,,
9/2/1904,66671,youni101,D,Concord,(New England),BSN,NL,
9/7/1904,18918,hersf101,D,Ilion,(New York State),BSN,NL,
9/7/1904,24019,lautb101,D,Syracuse,(New York State),BSN,NL,
9/7/1904,53979,volzj101,D,Manchester,(New England),BSN,NL,
9/9/1904,15031,garvn101,W,BRO,NL,NYA,AL,
9/11/1904,2083,barcg101,P,SLN,NL,BSN,NL,
9/21/1904,30385,mullj102,Lr,WS1,AL,PHA,AL,
10/4/1904,7433,chash101,D,Los Angeles,(PCL),NYA,AL,
10/4/1904,17676,harld102,D,Syracuse,(New York State),BSN,NL,
10/4/1904,31142,newtd101,D,Los Angeles,(PCL),NYA,AL,
10/10/1904,23059,knolp101,D,Nashville,(Southern Association),WS1,AL,
12/20/1904,66612,warnj103,P,NY1,NL,SLN,NL,
12/20/1904,48354,frasc101,T,PHI,NL,BSN,NL,
12/20/1904,48354,wolvh101,T,PHI,NL,BSN,NL,
12/20/1904,48354,pittt101,T,BSN,NL,PHI,NL,
12/20/1904,48355,brank101,T,PIT,NL,PHI,NL,
12/20/1904,48355,krueo101,T,PIT,NL,PHI,NL,
12/20/1904,48355,mccom104,T,PIT,NL,PHI,NL,
12/20/1904,48355,howad102,T,PHI,NL,PIT,NL,
12/26/1904,48356,,T,BOS,AL,SLA,AL,
12/26/1904,48356,stong101,T,BOS,AL,SLA,AL,
12/26/1904,48356,burkj101,T,SLA,AL,BOS,AL,
1/3/1905,57328,knigj102,Fa,,,PHA,AL,
1/12/1905,57796,washb101,F,,,PHI,NL,
1/25/1905,22371,kellw102,P,CIN,NL,SLN,NL,
1/29/1905,48357,abbof101,T,Columbus,(American Association),PHI,NL,
1/29/1905,48357,hulsr101,T,PHI,NL,Columbus,(American Association),
2/12/1905,57080,donop101,R,WS1,AL,,,
2/19/1905,57307,jordd101,P,BRO,NL,Atlanta,(Southern Association),
2/20/1905,18977,heydm101,P,CHA,AL,WS1,AL,
2/28/1905,13536,fisht102,P,BSN,NL,Shreveport,(Southern Association),
3/11/1905,28239,mcnie101,R,BSN,NL,,,
4/6/1905,7803,clarb103,R,WS1,AL,,,
4/6/1905,7804,clarb103,F,,,NY1,NL,
5/9/1905,1265,arndh101,P,Coatsville,(Tri-State),SLN,NL,
5/10/1905,23565,lachc101,R,BOS,AL,,,
5/15/1905,18919,hersf101,R,BSN,NL,,,
5/18/1905,11304,dorat101,W,BOS,AL,DET,AL,
5/19/1905,32653,paddd102,R,SLA,AL,,,
5/22/1905,2084,barcg101,R,BSN,NL,,,
5/22/1905,62338,barrs101,P,CHN,NL,CIN,NL,
5/25/1905,66597,volzj101,Dr,BSN,NL,Manchester,(New England),
5/30/1905,982,andej101,W,NYA,AL,WS1,AL,
6/6/1905,48360,dolac101,P,CIN,NL,BSN,NL,
6/6/1905,66498,streg101,L,CIN,NL,BSN,NL,
6/20/1905,66499,streg101,Lr,BSN,NL,CIN,NL,
6/30/1905,12928,fallc101,Fa,,,NYA,AL,
7/1/1905,53584,gibsg101,P,Montreal,(Eastern),PIT,NL,
7/4/1905,48361,braid101,T,SLN,NL,PIT,NL,
7/4/1905,48361,mcbrg101,T,PIT,NL,SLN,NL,
7/6/1905,19022,hickc101,P,DET,AL,WS1,AL,
7/12/1905,11446,doylj103,F,,,NYA,AL,
7/13/1905,34696,powem102,L,PHA,AL,NYA,AL,
7/16/1905,31196,nichk101,W,SLN,NL,PHI,NL,
7/16/1905,48028,zeard101,P,SLN,NL,Toledo,(American Association),
7/19/1905,7883,clarj103,P,SLN,NL,Toledo,(American Association),
7/20/1905,9692,curtf101,F,,,NYA,AL,
7/22/1905,7740,clanb102,P,PIT,NL,Rochester,(Eastern),
7/28/1905,57230,harrj102,P,Fall River,(New England),BOS,AL,
7/28/1905,57559,peteb101,P,Fall River,(New England),BOS,AL,
8/1/1905,7899,clarn101,L,CLE,AL,DET,AL,
8/1/1905,17133,hahnn101,R,CIN,NL,,,
8/4/1905,21975,justw101,R,DET,AL,,,
8/4/1905,22778,kinse101,P,Bloomington,(Three-I),PIT,NL,
8/4/1905,45565,warnj103,P,SLN,NL,DET,AL,
8/6/1905,11129,discg101,P,Marshalltown,(Iowa State),DET,AL,
8/6/1905,12750,eubaj101,P,Fort Dodge,(Iowa State),DET,AL,
8/7/1905,53593,grane101,R,CLE,AL,,,
8/7/1905,34697,powem102,Lr,NYA,AL,PHA,AL,
8/8/1905,29968,morig101,P,Toledo,(American Association),NYA,AL,
8/8/1905,36542,risip101,P,New London,(Connecticut State),BOS,AL,
8/11/1905,7900,clarn101,Lr,DET,AL,CLE,AL,
8/14/1905,15977,goodw101,Fo,,,NYA,AL,
8/15/1905,58809,jackc101,R,DET,AL,,,
8/18/1905,13322,fienl101,P,Toledo,(American Association),CHA,AL,
8/20/1905,12924,falkc101,P,Toronto,(Eastern),WS1,AL,
8/20/1905,17127,hahne101,P,New Orleans,(Southern Association),NYA,AL,
8/20/1905,22167,keefb101,P,Tacoma,(PCL),NYA,AL,
8/20/1905,43192,thomi101,P,Providence,(Eastern),NYA,AL,
8/22/1905,10497,delaf101,P,Birmingham,(Southern Association),NYA,AL,
