primary-date,Transact.ID,player,Trans. Type,From Team,To Team
1/1/2011,61905,riggs001,F,,MIL
1/3/2011,60909,bucht001,F,,NYN
1/3/2011,60953,capuc001,F,,NYN
1/3/2011,61160,felip002,F,,NYA
1/3/2011,61305,hawpb001,F,,SDN
1/3/2011,61554,lunah001,F,,BOS
1/3/2011,63961,minez001,F,,KCA
1/3/2011,61729,olivm001,F,,SEA
1/3/2011,61899,rhoda001,F,,TEX
1/3/2011,62176,webbb001,F,,TEX
1/4/2011,60827,belta001,F,,TEX
1/4/2011,62470,doteo001,F,,TOR
1/4/2011,61144,evera001,F,,CLE
1/4/2011,62540,hermj001,F,,CIN
1/4/2011,61504,laroa001,F,,WAS
1/4/2011,61534,liz-r001,R,SDN,
1/4/2011,61564,macrm001,F,,COL
1/4/2011,61583,martj004,P,PIT,CLE
1/4/2011,61701,nelsb002,F,,TEX
1/5/2011,60760,atkig001,F,,PIT
1/5/2011,60795,bardj001,F,,SEA
1/5/2011,60925,burrb001,F,,PIT
1/5/2011,61027,color001,F,,LAN
1/5/2011,61387,iribh001,F,,COL
1/5/2011,61453,junge001,F,,ANA
1/5/2011,61458,katam001,F,,TEX
1/5/2011,61512,ledew001,W,PIT,TOR
1/5/2011,61782,penat002,F,,BOS
1/5/2011,61855,ramim003,W,TEX,BOS
1/5/2011,61953,saitt001,F,,MIL
1/5/2011,61975,schlb001,W,CHN,NYA
1/5/2011,62221,yound004,F,,PHI
1/6/2011,61036,cordc001,F,,TOR
1/6/2011,65859,jimel001,F,,SEA
1/6/2011,62583,lee-d002,F,,BAL
1/6/2011,62735,romej001,F,,PHI
1/6/2011,62083,thurj001,F,,FLO
1/7/2011,60964,cartc001,F,,TBA
1/7/2011,61192,frank001,F,,SDN
1/7/2011,61731,olmer001,F,,TBA
1/7/2011,61959,sammc001,F,,FLO
1/8/2011,63347,dawkt001,F,,CHA
1/8/2011,61721,ohmaw001,F,,CHA
1/8/2011,66841,garzm001,T,TBA,CHN
1/8/2011,66841,peref001,T,TBA,CHN
1/8/2011,66841,Zach Rosscup,T,TBA,CHN
1/8/2011,66841,fulds001,T,CHN,TBA
1/8/2011,66841,archc001,T,CHN,TBA
1/8/2011,66841,guyeb001,T,CHN,TBA
1/8/2011,66841,chirr001,T,CHN,TBA
1/8/2011,66841,Hak-Ju Lee,T,CHN,TBA
1/8/2011,62300,Ryan Kelly,T,OAK,TEX
1/8/2011,62300,moscg001,T,TEX,OAK
1/9/2011,60914,buckt001,F,,CLE
1/9/2011,61468,kinnj001,F,,CHA
1/9/2011,62593,linds001,F,,CHA
1/10/2011,61201,gabia001,F,,BAL
1/10/2011,61524,lewif001,F,,CIN
1/10/2011,61597,mathd001,F,,CLE
1/10/2011,61856,ramim003,W,BOS,CHN
1/10/2011,61885,rente001,F,,CIN
1/10/2011,62190,whits002,F,,COL
1/10/2011,62200,wised001,F,,FLO
1/10/2011,62302,escas001,T,PHI,HOU
1/10/2011,62302,Albert Cartwright,T,HOU,PHI
1/11/2011,61465,kenna001,F,,SEA
1/11/2011,61787,pennb002,F,,DET
1/12/2011,62455,delae001,F,,MIL
1/12/2011,61152,farnk001,F,,TBA
1/12/2011,61437,johnr008,F,,CHN
1/12/2011,61667,montl001,F,,CHN
1/12/2011,61750,padij002,F,,FLO
1/12/2011,62048,tankt001,F,,NYN
1/13/2011,60861,bloow001,F,,ARI
1/13/2011,63193,bynuf001,F,,SLN
1/13/2011,61182,fox-m001,R,BOS,
1/13/2011,61255,gregk001,F,,BAL
1/13/2011,63906,matoo001,F,,SFN
1/13/2011,61842,qualc001,F,,SDN
1/13/2011,61930,romea001,F,,FLO
1/13/2011,62127,varva001,W,SEA,ATL
1/14/2011,62341,batim001,F,,SLN
1/14/2011,63084,bergw001,F,,DET
1/14/2011,60991,chavr001,F,,NYN
1/14/2011,61187,franj003,F,,KCA
1/14/2011,61862,rapac001,R,TEX,
1/14/2011,62004,sneli001,F,,SLN
1/14/2011,62074,thomj002,F,,MIN
1/15/2011,60729,aguic001,F,,FLO
1/15/2011,60993,chenb001,F,,KCA
1/15/2011,61059,daigc001,F,,SFN
1/15/2011,61122,eldrb001,F,,SFN
1/15/2011,61139,evant002,F,,SFN
1/15/2011,61303,harrw001,F,,NYN
1/15/2011,61655,millj005,F,,COL
1/15/2011,62022,stewc001,F,,SFN
1/15/2011,62132,vasqv001,F,,ANA
1/15/2011,62162,voger001,F,,SFN
1/16/2011,62124,vargc001,F,,COL
1/17/2011,61031,coraa001,F,,WAS
1/17/2011,61198,fuenb001,F,,OAK
1/17/2011,61292,hammr001,F,,ARI
1/17/2011,61865,raucj001,F,,TOR
1/17/2011,62219,younc003,F,,NYN
1/17/2011,62304,gorzt001,T,CHN,WAS
1/17/2011,62304,A.J. Morris,T,WAS,CHN
1/17/2011,62304,Michael Burgess,T,WAS,CHN
1/17/2011,62304,Graham Hicks,T,WAS,CHN
1/18/2011,60784,balfg001,F,,OAK
1/18/2011,61086,diazr001,F,,TEX
1/18/2011,61309,heila001,F,,ARI
1/18/2011,61382,humbp001,W,OAK,CHA
1/18/2011,62009,sorir001,F,,NYA
1/18/2011,62067,thamm001,F,,LAN
1/18/2011,62091,torew001,F,,PIT
1/18/2011,62223,zaung001,F,,SDN
1/19/2011,61231,giamj001,F,,COL
1/19/2011,61279,hairj002,F,,WAS
1/19/2011,61499,lanej001,F,,TOR
1/19/2011,61662,moelc001,F,,COL
1/19/2011,61774,pavac001,F,,MIN
1/19/2011,61860,ransc001,F,,ARI
1/19/2011,62148,veraj001,F,,PIT
1/20/2011,61226,geruj001,F,,SEA
1/20/2011,61281,hairs001,F,,NYN
1/20/2011,61440,jonea002,F,,NYA
1/20/2011,61566,madrw001,F,,NYA
1/20/2011,61918,roben001,F,,SEA
1/21/2011,60878,boyeb001,F,,NYN
1/21/2011,60932,byrdt001,F,,NYN
1/21/2011,61061,damoj001,F,,TBA
1/21/2011,61183,fox-m001,F,,BOS
1/21/2011,61307,hayhd001,F,,TBA
1/21/2011,61455,kaplg001,F,,LAN
1/21/2011,61838,puntn001,F,,SLN
1/21/2011,61854,ramim002,F,,TBA
1/21/2011,62306,wellv001,T,TOR,ANA
1/21/2011,62306,napom001,T,ANA,TOR
1/21/2011,62306,rivej001,T,ANA,TOR
1/24/2011,61013,cofft001,F,,WAS
1/24/2011,61340,hills003,F,,FLO
1/24/2011,63787,kroom001,F,,SFN
1/24/2011,61506,laroa002,F,,OAK
1/24/2011,61880,reedj004,F,,MIL
1/24/2011,62179,wellt002,F,,CHN
1/24/2011,62308,mortc003,T,OAK,COL
1/24/2011,62308,Ethan Hollingsworth,T,COL,OAK
1/24/2011,62310,galaa002,T,DET,ARI
1/24/2011,62310,Kevin Eichhorn,T,ARI,DET
1/24/2011,62310,Ryan Robowski,T,ARI,DET
1/25/2011,60951,cantj001,F,,SDN
1/25/2011,61092,dobbg001,F,,FLO
1/25/2011,61942,rundr001,F,,SLN
1/25/2011,62140,vazqr001,F,,SLN
