CombinedName	Armored Vehicle	Bayonet/Knife	Camo	Casspir Armored Vehicle	Grenade Launcher	Helicopter	Machine Gun	Magazine	Mine Detection	MRAP	Night Vision	Personal Armor	phon	Pistol	Plane	Robot	Shotgun	Silence	state	county	fips	name	state_abbr	Other armored vehicle
AK, ANCHORAGE	0	0	13	1	0	0	123	0	0	0	4	5	0	0	0	1	0	0	AK	 ANCHORAGE	02020	Anchorage	AK	1
AK, FAIRBANKS NORTH STAR	0	0	0	0	0	0	15	0	0	0	0	26	0	0	0	0	0	0	AK	 FAIRBANKS NORTH STAR	02090	Fairbanks North Star	AK	0
AK, JUNEAU	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	AK	 JUNEAU	02110	Juneau	AK	0
AK, KETCHIKAN GATEWAY	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	AK	 KETCHIKAN GATEWAY	02130	Ketchikan Gateway	AK	0
AK, KODIAK ISLAND	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	AK	 KODIAK ISLAND	02150	Kodiak Island	AK	0
AK, MATANUSKA SUSITNA	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	AK	 MATANUSKA SUSITNA	02170	Matanuska-Susitna	AK	0
AL, AUTAUGA	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	AL	 AUTAUGA	01001	Autauga	AL	0
AL, BALDWIN	0	0	0	0	0	0	57	10	0	0	32	21	0	24	0	0	0	0	AL	 BALDWIN	01003	Baldwin	AL	0
AL, BARBOUR	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	AL	 BARBOUR	01005	Barbour	AL	0
AL, BIBB	0	0	0	0	0	0	10	0	0	0	20	0	0	0	0	0	0	0	AL	 BIBB	01007	Bibb	AL	0
AL, BLOUNT	0	76	5	0	0	0	5	26	1	1	21	5	0	0	0	0	0	0	AL	 BLOUNT	01009	Blount	AL	0
AL, BUTLER	0	0	0	0	0	0	14	0	0	0	20	0	0	14	0	0	0	0	AL	 BUTLER	01013	Butler	AL	0
AL, CALHOUN	0	167	1	1	0	0	180	1725	2	2	305	99	0	52	0	6	0	0	AL	 CALHOUN	01015	Calhoun	AL	1
AL, CHAMBERS	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	AL	 CHAMBERS	01017	Chambers	AL	0
AL, CHEROKEE	2	67	55	0	0	0	23	103	0	0	183	25	0	13	0	0	0	0	AL	 CHEROKEE	01019	Cherokee	AL	2
AL, CHILTON	0	0	24	0	0	1	38	0	0	2	22	0	0	52	1	0	0	0	AL	 CHILTON	01021	Chilton	AL	0
AL, CHOCTAW	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	0	0	AL	 CHOCTAW	01023	Choctaw	AL	0
AL, CLARKE	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	AL	 CLARKE	01025	Clarke	AL	0
AL, CLEBURNE	0	0	0	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	AL	 CLEBURNE	01029	Cleburne	AL	0
AL, COFFEE	0	0	0	0	0	1	16	0	0	0	2	0	0	8	0	0	0	0	AL	 COFFEE	01031	Coffee	AL	0
AL, COLBERT	0	0	2	0	0	0	53	5	0	0	65	32	0	14	0	0	0	0	AL	 COLBERT	01033	Colbert	AL	0
AL, CONECUH	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	AL	 CONECUH	01035	Conecuh	AL	0
AL, COVINGTON	0	0	2	0	0	0	5	50	0	0	61	0	0	0	0	3	0	0	AL	 COVINGTON	01039	Covington	AL	0
AL, CRENSHAW	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	AL	 CRENSHAW	01041	Crenshaw	AL	0
AL, CULLMAN	1	70	2	0	0	0	25	42	0	1	44	84	0	5	0	0	0	0	AL	 CULLMAN	01043	Cullman	AL	1
AL, DALE	0	0	0	0	0	0	11	0	0	0	24	68	0	0	0	0	0	0	AL	 DALE	01045	Dale	AL	0
AL, DALLAS	0	0	0	0	0	0	71	0	0	0	0	0	0	20	0	1	0	0	AL	 DALLAS	01047	Dallas	AL	0
AL, DE KALB	0	0	0	0	0	0	2	0	0	0	137	0	0	1	0	0	0	0	AL	 DE KALB	01049	DeKalb	AL	0
AL, ELMORE	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	6	0	AL	 ELMORE	01051	Elmore	AL	1
AL, ESCAMBIA	0	0	2	0	0	0	12	0	0	0	8	0	0	0	0	0	0	0	AL	 ESCAMBIA	01053	Escambia	AL	0
AL, ETOWAH	0	123	0	0	0	2	50	157	0	1	13	0	0	0	0	0	0	0	AL	 ETOWAH	01055	Etowah	AL	0
AL, FAYETTE	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	AL	 FAYETTE	01057	Fayette	AL	0
AL, FRANKLIN	0	50	15	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	AL	 FRANKLIN	01059	Franklin	AL	0
AL, GENEVA	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	AL	 GENEVA	01061	Geneva	AL	0
