Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Chitta Baral,Arizona State University,1999,Full,Natural Language & Speech,Indian Institute of Technology - Kanpur - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,http://cidse.engineering.asu.edu/directory/chitta-baral/,,,
Kasim Candan,Arizona State University,1997,Full,Databases,Bilkent University - Turkey,,University of Maryland - College Park - USA,,http://cidse.engineering.asu.edu/directory/candan-k-selcuk/,,,
Charles Colbourn,Arizona State University,2001,Full,Networks & Communications, University of Toronto - Canada,University of Waterloo - Ontario - Canada, University of Toronto - Canada,,http://cidse.engineering.asu.edu/directory/charles-colbourn/,,,
James Collofello,Arizona State University,1979,Full,Software Engineering,Northern Illinois University - USA,Northern Illinois University - USA,Northwestern University - USA,,http://cidse.engineering.asu.edu/directory/collofello-james/,,,
Sandeep Gupta,Arizona State University,2001,Full,Distributed & Parallel Computing,,,Ohio State University - USA,,http://cidse.engineering.asu.edu/directory/gupta-sandeep/,,,
Subbarao Kambhampati,Arizona State University,1991,Full,Artificial Intelligence,Indian Institute of Technology - Madras - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,http://cidse.engineering.asu.edu/directory/subbarao-kambhampati/,http://rakaposhi.eas.asu.edu/rao.html,,
Huan Liu,Arizona State University,2000,Full,Machine Learning & Pattern Recognition,Shanghai Jiaotong University - China,University of Southern California - USA,University of Southern California - USA,,http://cidse.engineering.asu.edu/directory/huan-liu/,,,
Arunabha Sen,Arizona State University,1987,Full,Networks & Communications,,,University of South Carolina - USA,,http://cidse.engineering.asu.edu/directory/sen-arunabha/,,,
Wei-Tek Tsai,Arizona State University,2000,Full,Distributed & Parallel Computing,,,University of California - Berkeley - USA,,http://cidse.engineering.asu.edu/directory/tsai-wei-tek/,,,
Kurt VanLehn,Arizona State University,2008,Full,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://cidse.engineering.asu.edu/directory/kurt-vanlehn/,,,
Guoliang Xue,Arizona State University,2001,Full,Security & Privacy,Qufu Normal University - China,Qufu Normal University - China,University of Minnesota - Twin Cities - USA,,http://cidse.engineering.asu.edu/directory/xue-guoliang/,,,
Rida Bazzi,Arizona State University,1996,Associate,Security & Privacy,American University of Beirut - Lebanon,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://cidse.engineering.asu.edu/directory/rida-bazzi/,,,
Partha Dasgupta,Arizona State University,1991,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur - India,Indian Institute of Technology - Kharagpur - India,State University of New York - Stony Brook - USA,,http://cidse.engineering.asu.edu/directory/dasgupta-partha/,,,
Hasan Davulcu,Arizona State University,,Associate,Data Mining,Middle East Technical University - Turkey,State University of New York - Stony Brook - USA,State University of New York - Stony Brook - USA,,http://cidse.engineering.asu.edu/directory/davulcu-hasan/,,,
