year,name,alt_name,deduped_name,affiliation,Program Committee,Conference Chair,Steering Committee,Late-Breaking Hot Topics Chair,Publications Chair,Publicity Chair,InfovisFun Chair,Best Paper Committee,Papers Chair,Video Chair,Contest Chair,Art Show Chair,Posters Chair,Panels Chair,Tutorials Chair,Workshops Chair,Interactive Demos Chair,Exhibits Chair,Birds of a Feather Chair,Doctoral Colloquium Chair,Discovery Exhibition Chair,Fast Forward Chair,Industry Outreach Chair,Meetups Chair,Compass Chair
2009,Adam Perer,"Perer, A.","Perer, A.",IBM Haifa Research Lab,1,,,,,,,,,,,,,,,,,,,,,,,,
2010,Adam Perer,"Perer, A.","Perer, A.",IBM Research,1,,,,,,,,,,,,,,,,,,,,,,,,
2011,Adam Perer,"Perer, A.","Perer, A.",IBM Research,1,,,,,,,,,,,,,,,,,,,,,,,,
2012,Adam Perer,"Perer, A.","Perer, A.",IBM Research,,,,,,,,,,,,,,,,,,1,,,,,,,
2013,Adam Perer,"Perer, A.","Perer, A.",IBM Research,,,,,,,,,,,,,,,,,,1,,,,,,,
2013,Adam Perer,"Perer, A.","Perer, A.",IBM Research,1,,,,,,,,,,,,,,,,,,,,,,,,
2014,Adam Perer,"Perer, A.","Perer, A.",IBM Research,,,,,,1,,,,,,,,,,,,,,,,,,,
2014,Adam Perer,"Perer, A.","Perer, A.",IBM Research,1,,,,,,,,,,,,,,,,,,,,,,,,
2015,Adam Perer,"Perer, A.","Perer, A.",IBM Research,1,,,,,,,,,,,,,,,,,,,,,,,,
1995,Adrienne Kleiboemer,"Kleiboemer, A.","Kleiboemer, A.",The MITRE Corp.,1,,,,,,,,,,,,,,,,,,,,,,,,
1996,Adrienne Kleiboemer,"Kleiboemer, A.","Kleiboemer, A.",Mitretek Systems,1,,,,,,,,,,,,,,,,,,,,,,,,
1997,Adrienne Kleiboemer,"Kleiboemer, A.","Kleiboemer, A.",Mitretek Systems,1,,,,,,,,,,,,,,,,,,,,,,,,
2014,Aidan Slingsby,"Slingsby, A.","Slingsby, A.",City University London,1,,,,,,,,,,,,,,,,,,,,,,,,
2015,Aidan Slingsby,"Slingsby, A.","Slingsby, A.",City University London,1,,,,,,,,,,,,,,,,,,,,,,,,
2002,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,,,,,,,,,,,,,1,,,,,,,,,,,,
2002,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,1,,,,,,,,,,,,,,,,,,,,,,,,
2003,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,,,,,,,,,,,,,1,,,,,,,,,,,,
2003,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,1,,,,,,,,,,,,,,,,,,,,,,,,
2004,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,,,,,1,,,,,,,,,,,,,,,,,,,,
2004,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,1,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,,,,,1,,,,,,,,,,,,,,,,,,,,
2005,Alan Keahey,"Keahey, T.A.","Keahey, T.A.",Visintuit,1,,,,,,,,,,,,,,,,,,,,,,,,
2003,Alan MacEachren,"MacEachren, A.M.","MacEachren, A.M.",Pennsylvania State University,1,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alan MacEachren,"MacEachren, A.M.","MacEachren, A.M.",Penn State University,1,,,,,,,,,,,,,,,,,,,,,,,,
