id,year,category,overallMotivation,laureate_id,motivation,share
3,2012,Chemistry,,878,&quot;for studies of G-protein-coupled receptors&quot;,2
4,2012,Chemistry,,879,&quot;for studies of G-protein-coupled receptors&quot;,2
14,2011,Chemistry,,867,&quot;for the discovery of quasicrystals&quot;,1
26,2010,Chemistry,,851,&quot;for palladium-catalyzed cross couplings in organic synthesis&quot;,3
27,2010,Chemistry,,852,&quot;for palladium-catalyzed cross couplings in organic synthesis&quot;,3
28,2010,Chemistry,,853,&quot;for palladium-catalyzed cross couplings in organic synthesis&quot;,3
38,2009,Chemistry,,841,&quot;for studies of the structure and function of the ribosome&quot;,3
39,2009,Chemistry,,842,&quot;for studies of the structure and function of the ribosome&quot;,3
40,2009,Chemistry,,843,&quot;for studies of the structure and function of the ribosome&quot;,3
51,2008,Chemistry,,829,&quot;for the discovery and development of the green fluorescent protein, GFP&quot;,3
52,2008,Chemistry,,830,&quot;for the discovery and development of the green fluorescent protein, GFP&quot;,3
53,2008,Chemistry,,831,&quot;for the discovery and development of the green fluorescent protein, GFP&quot;,3
62,2007,Chemistry,,816,&quot;for his studies of chemical processes on solid surfaces&quot;,1
74,2006,Chemistry,,806,&quot;for his studies of the molecular basis of eukaryotic transcription&quot;,1
84,2005,Chemistry,,794,&quot;for the development of the metathesis method in organic synthesis&quot;,3
85,2005,Chemistry,,795,&quot;for the development of the metathesis method in organic synthesis&quot;,3
86,2005,Chemistry,,796,&quot;for the development of the metathesis method in organic synthesis&quot;,3
97,2004,Chemistry,,779,&quot;for the discovery of ubiquitin-mediated protein degradation&quot;,3
98,2004,Chemistry,,780,&quot;for the discovery of ubiquitin-mediated protein degradation&quot;,3
99,2004,Chemistry,,781,&quot;for the discovery of ubiquitin-mediated protein degradation&quot;,3
109,2003,Chemistry,&quot;for discoveries concerning channels in cell membranes&quot;,769,&quot;for the discovery of water channels&quot;,2
110,2003,Chemistry,&quot;for discoveries concerning channels in cell membranes&quot;,770,&quot;for structural and mechanistic studies of ion channels&quot;,2
120,2002,Chemistry,&quot;for the development of methods for identification and structure analyses of biological macromolecules&quot;,756,&quot;for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules&quot;,4
121,2002,Chemistry,&quot;for the development of methods for identification and structure analyses of biological macromolecules&quot;,757,&quot;for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules&quot;,4
122,2002,Chemistry,&quot;for the development of methods for identification and structure analyses of biological macromolecules&quot;,758,&quot;for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution&quot;,2
133,2001,Chemistry,,741,&quot;for their work on chirally catalysed hydrogenation reactions&quot;,4
134,2001,Chemistry,,742,&quot;for their work on chirally catalysed hydrogenation reactions&quot;,4
135,2001,Chemistry,,743,&quot;for his work on chirally catalysed oxidation reactions&quot;,2
148,2000,Chemistry,,729,&quot;for the discovery and development of conductive polymers&quot;,3
149,2000,Chemistry,,730,&quot;for the discovery and development of conductive polymers&quot;,3
150,2000,Chemistry,,731,&quot;for the discovery and development of conductive polymers&quot;,3
160,1999,Chemistry,,292,&quot;for his studies of the transition states of chemical reactions using femtosecond spectroscopy&quot;,1
168,1998,Chemistry,,290,&quot;for his development of the density-functional theory&quot;,2
169,1998,Chemistry,,291,&quot;for his development of computational methods in quantum chemistry&quot;,2
180,1997,Chemistry,,287,&quot;for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)&quot;,4
181,1997,Chemistry,,288,&quot;for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)&quot;,4
182,1997,Chemistry,,289,&quot;for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase&quot;,2
192,1996,Chemistry,,284,&quot;for their discovery of fullerenes&quot;,3
193,1996,Chemistry,,285,&quot;for their discovery of fullerenes&quot;,3
194,1996,Chemistry,,286,&quot;for their discovery of fullerenes&quot;,3
204,1995,Chemistry,,281,&quot;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone&quot;,3
205,1995,Chemistry,,282,&quot;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone&quot;,3
206,1995,Chemistry,,283,&quot;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone&quot;,3
216,1994,Chemistry,,280,&quot;for his contribution to carbocation chemistry&quot;,1
228,1993,Chemistry,&quot;for contributions to the developments of methods within DNA-based chemistry&quot;,278,&quot;for his invention of the polymerase chain reaction (PCR) method&quot;,2
229,1993,Chemistry,&quot;for contributions to the developments of methods within DNA-based chemistry&quot;,279,&quot;for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies&quot;,2
238,1992,Chemistry,,277,&quot;for his contributions to the theory of electron transfer reactions in chemical systems&quot;,1
245,1991,Chemistry,,276,&quot;for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy&quot;,1
254,1990,Chemistry,,275,&quot;for his development of the theory and methodology of organic synthesis&quot;,1
265,1989,Chemistry,,273,&quot;for their discovery of catalytic properties of RNA&quot;,2
266,1989,Chemistry,,274,&quot;for their discovery of catalytic properties of RNA&quot;,2
275,1988,Chemistry,,270,&quot;for the determination of the three-dimensional structure of a photosynthetic reaction centre&quot;,3
276,1988,Chemistry,,271,&quot;for the determination of the three-dimensional structure of a photosynthetic reaction centre&quot;,3
277,1988,Chemistry,,272,&quot;for the determination of the three-dimensional structure of a photosynthetic reaction centre&quot;,3
286,1987,Chemistry,,267,&quot;for their development and use of molecules with structure-specific interactions of high selectivity&quot;,3
287,1987,Chemistry,,268,&quot;for their development and use of molecules with structure-specific interactions of high selectivity&quot;,3
288,1987,Chemistry,,269,&quot;for their development and use of molecules with structure-specific interactions of high selectivity&quot;,3
296,1986,Chemistry,,264,&quot;for their contributions concerning the dynamics of chemical elementary processes&quot;,3
297,1986,Chemistry,,265,&quot;for their contributions concerning the dynamics of chemical elementary processes&quot;,3
298,1986,Chemistry,,266,&quot;for their contributions concerning the dynamics of chemical elementary processes&quot;,3
305,1985,Chemistry,,262,&quot;for their outstanding achievements in the development of direct methods for the determination of crystal structures&quot;,2
306,1985,Chemistry,,263,&quot;for their outstanding achievements in the development of direct methods for the determination of crystal structures&quot;,2
314,1984,Chemistry,,261,&quot;for his development of methodology for chemical synthesis on a solid matrix&quot;,1
323,1983,Chemistry,,260,&quot;for his work on the mechanisms of electron transfer reactions, especially in metal complexes&quot;,1
329,1982,Chemistry,,259,&quot;for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes&quot;,1
340,1981,Chemistry,,257,&quot;for their theories, developed independently, concerning the course of chemical reactions&quot;,2
341,1981,Chemistry,,258,&quot;for their theories, developed independently, concerning the course of chemical reactions&quot;,2
350,1980,Chemistry,,254,&quot;for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA&quot;,2
351,1980,Chemistry,,255,&quot;for their contributions concerning the determination of base sequences in nucleic acids&quot;,4
352,1980,Chemistry,,222,&quot;for their contributions concerning the determination of base sequences in nucleic acids&quot;,4
362,1979,Chemistry,,252,&quot;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis&quot;,2
363,1979,Chemistry,,253,&quot;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis&quot;,2
373,1978,Chemistry,,251,&quot;for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory&quot;,1
384,1977,Chemistry,,250,&quot;for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures&quot;,1
394,1976,Chemistry,,249,&quot;for his studies on the structure of boranes illuminating problems of chemical bonding&quot;,1
404,1975,Chemistry,,247,&quot;for his work on the stereochemistry of enzyme-catalyzed reactions&quot;,2
405,1975,Chemistry,,248,&quot;for his research into the stereochemistry of organic molecules and reactions&quot;,2
415,1974,Chemistry,,246,&quot;for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules&quot;,1
428,1973,Chemistry,,244,&quot;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds&quot;,2
429,1973,Chemistry,,245,&quot;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds&quot;,2
440,1972,Chemistry,,241,&quot;for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation&quot;,2
441,1972,Chemistry,,242,&quot;for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule&quot;,4
442,1972,Chemistry,,243,&quot;for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule&quot;,4
449,1971,Chemistry,,240,&quot;for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals&quot;,1
456,1970,Chemistry,,239,&quot;for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates&quot;,1
464,1969,Chemistry,,237,&quot;for their contributions to the development of the concept of conformation and its application in chemistry&quot;,2
465,1969,Chemistry,,238,&quot;for their contributions to the development of the concept of conformation and its application in chemistry&quot;,2
474,1968,Chemistry,,236,&quot;for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes&quot;,1
481,1967,Chemistry,,233,&quot;for their studies of extremely fast chemical reactions, effected by disturbing the equlibrium by means of very short pulses of energy&quot;,2
482,1967,Chemistry,,234,&quot;for their studies of extremely fast chemical reactions, effected by disturbing the equlibrium by means of very short pulses of energy&quot;,4
483,1967,Chemistry,,235,&quot;for their studies of extremely fast chemical reactions, effected by disturbing the equlibrium by means of very short pulses of energy&quot;,4
489,1966,Chemistry,,232,&quot;for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method&quot;,1
497,1965,Chemistry,,231,&quot;for his outstanding achievements in the art of organic synthesis&quot;,1
506,1964,Chemistry,,230,&quot;for her determinations by X-ray techniques of the structures of important biochemical substances&quot;,1
514,1963,Chemistry,,228,&quot;for their discoveries in the field of the chemistry and technology of high polymers&quot;,2
515,1963,Chemistry,,229,&quot;for their discoveries in the field of the chemistry and technology of high polymers&quot;,2
523,1962,Chemistry,,226,&quot;for their studies of the structures of globular proteins&quot;,2
524,1962,Chemistry,,227,&quot;for their studies of the structures of globular proteins&quot;,2
532,1961,Chemistry,,225,&quot;for his research on the carbon dioxide assimilation in plants&quot;,1
537,1960,Chemistry,,224,&quot;for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science&quot;,1
544,1959,Chemistry,,223,&quot;for his discovery and development of the polarographic methods of analysis&quot;,1
552,1958,Chemistry,,222,&quot;for his work on the structure of proteins, especially that of insulin&quot;,1
560,1957,Chemistry,,221,&quot;for his work on nucleotides and nucleotide co-enzymes&quot;,1
567,1956,Chemistry,,219,&quot;for their researches into the mechanism of chemical reactions&quot;,2
568,1956,Chemistry,,220,&quot;for their researches into the mechanism of chemical reactions&quot;,2
575,1955,Chemistry,,218,&quot;for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone&quot;,1
580,1954,Chemistry,,217,&quot;for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances&quot;,1
587,1953,Chemistry,,216,&quot;for his discoveries in the field of macromolecular chemistry&quot;,1
594,1952,Chemistry,,214,&quot;for their invention of partition chromatography&quot;,2
595,1952,Chemistry,,215,&quot;for their invention of partition chromatography&quot;,2
601,1951,Chemistry,,212,&quot;for their discoveries in the chemistry of the transuranium elements&quot;,2
602,1951,Chemistry,,213,&quot;for their discoveries in the chemistry of the transuranium elements&quot;,2
607,1950,Chemistry,,210,&quot;for their discovery and development of the diene synthesis&quot;,2
608,1950,Chemistry,,211,&quot;for their discovery and development of the diene synthesis&quot;,2
615,1949,Chemistry,,209,&quot;for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures&quot;,1
621,1948,Chemistry,,208,&quot;for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins&quot;,1
625,1947,Chemistry,,207,&quot;for his investigations on plant products of biological importance, especially the alkaloids&quot;,1
633,1946,Chemistry,,204,&quot;for his discovery that enzymes can be crystallized&quot;,2
634,1946,Chemistry,,205,&quot;for their preparation of enzymes and virus proteins in a pure form&quot;,4
635,1946,Chemistry,,206,&quot;for their preparation of enzymes and virus proteins in a pure form&quot;,4
641,1945,Chemistry,,203,&quot;for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method&quot;,1
648,1944,Chemistry,,202,&quot;for his discovery of the fission of heavy nuclei&quot;,1
654,1943,Chemistry,,201,&quot;for his work on the use of isotopes as tracers in the study of chemical processes&quot;,1
658,1939,Chemistry,,199,&quot;for his work on sex hormones&quot;,2
659,1939,Chemistry,,200,&quot;for his work on polymethylenes and higher terpenes&quot;,2
663,1938,Chemistry,,198,&quot;for his work on carotenoids and vitamins&quot;,1
669,1937,Chemistry,,196,&quot;for his investigations on carbohydrates and vitamin C&quot;,2
670,1937,Chemistry,,197,&quot;for his investigations on carotenoids, flavins and vitamins A and B2&quot;,2
676,1936,Chemistry,,195,&quot;for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases&quot;,1
682,1935,Chemistry,,193,&quot;in recognition of their synthesis of new radioactive elements&quot;,2
683,1935,Chemistry,,194,&quot;in recognition of their synthesis of new radioactive elements&quot;,2
686,1934,Chemistry,,192,&quot;for his discovery of heavy hydrogen&quot;,1
698,1932,Chemistry,,191,&quot;for his discoveries and investigations in surface chemistry&quot;,1
702,1931,Chemistry,,189,&quot;in recognition of their contributions to the invention and development of chemical high pressure methods&quot;,2
