"code","name"
"ACI","Division of Advanced CyberInfrastructure"
"AGS","Division of Atmospheric and Geospace Sciences"
"AIL","Antarctic Infrastructure &amp; Logistics Division"
"ANT","Antarctic Sciences Division"
"ARC","Arctic Sciences Division"
"AST","Division of Astronomical Sciences"
"BCS","Division of Behavioral and Cognitive Sciences"
"BES","Division of Bioengineering &amp; Environmental Systems"
"BFA","Office of Budget, Finance &amp; Award Management"
"BIO","Directorate for Biological Sciences"
"CBET","Division of Chemical, Bioengineering, Environmental, and Transport SystemsEnvironmental, and Transport Systems"
"CCF","Division of Computer and Communication Foundations"
"CHE","Division of Chemistry"
"CMMI","Division of Civil, Mechanical, and Manufacturing InnovationInnovation"
"CNS","Division of Computer and Network Systems"
"CSE","Directorate for Computer &amp; Information Science &amp; Engineering"
"DACS","Division of Acquisition &amp; Cooperative Support (DACS)"
"DAS","Division of Administrative Services"
"DBI","Division of Biological Infrastructure"
"DEB","Division of Environmental Biology"
"DFM","Division of Financial Management"
"DGA","Division of Grants &amp; Agreements"
"DGE","Division of Graduate Education"
"DIAS","Division of Institution &amp; Award Support"
"DIS","Division of Information Systems"
"DMI","Division of Design &amp; Manufacturing Innovation"
"DMR","Division of Materials Research"
"DMS","Division of Mathematical Sciences"
"DOB","DIVISION OF BUDGET"
"DPP","DIVISION OF POLAR PROGRAMS"
"DRL","Division of Research on Learning in Formal and Informal Settings (DRL)Informal Settings (DRL)"
"DUE","Division of Undergraduate Education"
"EAR","Division of Earth Sciences"
"ECCS","Division of Electrical, Communications and Cyber Systemsoption>"
"EEC","Division of Engineering Education and Centers"
"EF","Emerging Frontiers"
"EFRI","Office of Emerging Frontiers in Research and Innovation (EFRI)Innovation (EFRI)"
"EHR","Directorate for Education &amp; Human Resources"
"ENG","Directorate for Engineering"
"EPS","EPSCoR"
"ESI","Division of Elementary, Secondary &amp; Informal Educationoption>"
"ESR","Division of Educational System Reform"
"GEO","Directorate for Geosciences"
"HRD","Division of Human Resource Development"
"HRM","Division of Human Resource Management"
"ICER","Integrative and Collaborative Education and Research (ICER)ICER)"
"IIA","Office of International and Integrative Activities"
"IIP","Division of Industrial Innovation and Partnerships"
"IIS","Division of Information &amp; Intelligent Systems"
"IOS","Division of Integrative Organismal Systems"
"IRM","Office of Information &amp; Resource Management"
"LPA","Office of Legislative and Public Affiars"
"MCB","Division of Molecular and Cellular Biosciences"
"MPS","Directorate for Mathematical &amp; Physical Sciences"
"NCO","National Coordination Office"
"NCSE","National Center for Science and Engineering Statistics.option>"
"NNCO","National Nanotechnology Coordinating Office"
"NSB","NATIONAL SCIENCE BOARD"
"O/D","OFFICE OF THE DIRECTOR"
"OCE","Division of Ocean Sciences"
"OCI","Office of CyberInfrastructure"
"ODI","Office of Diversity and Inclusion"
"OGC","GENERAL COUNSEL"
"OIG","Office of Inspector General"
"OIG","Office of Inspector General"
"OIG","Office of Inspector General"
"OISE","Office of International Science and Engineering"
"OPP","Office of Polar Programs"
"PEHS","Polar Environment, Health &amp; Safety Office"
"PHY","Division of Physics"
"PLR","Division of Polar Programs"
"REC","Division of Research, Evaluation and Communication"
"SBE","Directorate for Social, Behavioral &amp; Economic Sciencesoption>"
"SCI","Division of Shared Cyberinfrastructure"
"SES","Division of Social and Economic Sciences"
"SMA","SBE Office of Multidisciplinary Activities"
