respid,sample,int_date,fcall,attempt,refusal,lang,phase,qa1,q1c1,qc1a,qb2,qb3,qb4,qb5,qa6,qa8,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qa9g,qa11a,qa11b,q11c_b,q11e_b,q11h_b,q11i_b,q11j_b,q11at,qb12,q25a,q25a,q25b,q25c,q25d,q25f,q25g,q25h,q25i,q25j,q25k,q25l,q25m,q25n,q25o,q25p,qb26,qc26,oftvote,q26f1,q26f1a,q26f1b,q26f2,q26f2a,q26f2b,Q26,Q26CAT,qb27,qb27a,int1,int2,int3m,qc28a,qc28b,qc28c,qc28d,qc28e,qc28f,qc28g,qc28h,qa29a,qa29b,q40,qb40a,qb40b,q41,q42,q43,qc48a,qc48b,qc48c,qc49a,qc49b,qc49c,q50q,q50r,q50s,q50t,q50u,q50v,q50w,q50y,q50z,q50aa,q50bb,q50dd,q50ee,q50ff,q50gg,150hh,q51uu,q51jj,q51kk,151ll,q51mm,q51oo,q51pp,q53,qb54,qb55,qc56,qc57,qc58a,qc58b,q100,q101,q102,q102a,q105a,q105b,q105d,q106,qb106,qb107,qb108,qb109,qa110,qb111,qb112,qb115,qb116,qb116a,qb117,q121,q121a,q121b,q122,q122a,q122b,q123,q123a,q123b,q124,q124a,q124b,q125,q125a,q125b,q126,q126a,q126b,qc127,qc128,qc135,qc135a,b139txt,qb139,b139atxt,qb139a,sex,age,educ,hisp,racem1,racem2,racem3,racem4,birht_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystrflag,partystr,partysum,ideo,qd140,qb140b,qb141,qb141b,qc142,q148,q149,teaparty2,q150,pvote12a,pvote12b,employ2,employ1,employ7,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,racecmb,racethn,intuser,q148correct,llweight,cellweight,ideoConsis,iseoConsistREC,bys,typogroups,weight
2,1,140123,140123,1,0,1,1,1,,,,,,,4,1,2,1,2,2,2,1,1,2,3,,,,,,,,,1,2,1,1,2,2,1,2,1,1,2,1,1,,,,,2,,,,50,,,50,3,,,1,,,,,,,,,,,1,1,2,,,1,2,2,,,,,,,1,2,,,2,,2,1,2,2,2,1,2,,,1,1,1,1,,2,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,1,1,,1,2,,2,,2,1,2,,,,,,,,,,1,63,4,2,1,,,,,1,2,2,,1,,2,5,5,,1,1,,,,1,3,,,,,,7,1,3,,,,,,,2,2,1,,,,2,1,2,1,,,,1,1,1,1,0.794975,,2,3,0,4,0.5594425
5,1,140123,140123,1,0,1,1,2,,,,,,,3,2,2,1,2,2,1,1,1,2,3,,,,,,,,,2,2,1,1,1,2,2,2,2,1,2,1,1,,,,,1,,,,50,,,50,3,,,1,,,,,,,,,,,3,1,1,,,2,2,1,,,,,,,1,2,,,2,,1,2,1,1,1,1,2,,,1,1,1,2,,1,,,2,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,2,,2,1,2,,1,1,,2,,1,2,,2,2,,2,,,,,,,,,2,62,3,2,1,,,,,1,2,2,,12,,,5,3,,1,1,,,,1,2,,,,,,99,1,3,,,,,,,2,2,1,,,,2,1,2,1,3,,,1,1,1,9,0.9102377,,-2,3,0,4,0.8932215
6,1,140128,140123,5,0,1,1,2,,,,,,,4,1,2,1,2,1,1,1,1,8,8,,,,,,,,,1,2,1,2,2,1,2,2,1,1,2,1,2,,,,,5,,,,50,,,50,3,,,1,,,,,,,,,,,3,3,1,,,1,2,2,,,,,,,1,2,,,2,,1,2,1,2,2,2,2,,,1,2,1,1,,2,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,2,,1,2,,2,1,1,,,,,,,,,,2,46,6,2,1,,,,,1,1,1,,1,1,2,1,6,,3,4,9,1,,9,2,,,,,,,,3,,,,,,,4,2,1,,,,3,2,2,1,,,,1,1,1,,0.5668143,,4,4,0,5,0.6433313
7,1,140123,140123,1,0,1,1,1,,,,,,,3,9,2,1,1,1,1,1,1,3,1,,,,,,,,,2,9,9,1,1,1,1,5,2,2,1,9,1,,,,,1,5,,,,,,5,1,,,1,,,,,,,,,,,2,2,1,,,2,2,1,,,,,,,1,2,,,1,,1,1,2,2,2,2,1,,,2,2,1,5,,1,,,2,,,,,,,1,1,9,,1,1,1,2,,,,,,,,,,,,1,1,,2,,2,1,1,,1,1,,1,9,,9,,,,,,,,,,,2,80,4,2,1,,,,,1,1,2,,1,,1,4,8,,1,2,,,,2,5,,,,,,99,1,2,,,,,,,2,2,1,,,,2,2,2,1,,,,1,1,1,9,0.481135,,-7,1,0,1,0.6884188
9,1,140123,140123,1,0,1,1,2,,,,,,,4,1,2,1,2,2,2,1,1,3,4,,,,,,,,,1,1,5,2,2,1,1,1,2,1,2,5,1,,,,,2,80,,,,,,80,4,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,5,1,,,2,,1,1,2,1,1,1,5,,,1,2,1,5,,1,,,9,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,9,,,2,,2,1,2,,1,1,,,,,,,,,,1,45,8,2,1,,,,,1,1,1,,1,,1,1,5,,1,1,,,,1,2,,,,,,99,1,1,4,,,,,,5,3,1,,,,2,1,1,1,,,,1,1,1,9,0.7093487,,3,4,0,6,0.5647853
10,1,140123,140123,1,0,1,1,1,,,,,,,3,1,2,1,2,1,2,1,1,2,4,,,,,,,,,1,2,1,1,2,2,1,1,1,1,2,1,1,,,,,1,,,,50,,,50,3,,,1,,,,,,,,,,,1,1,1,,,2,2,2,,,,,,,2,1,,,2,,1,1,2,2,1,1,2,,,1,2,1,1,,2,,,2,,,,,,,1,2,,,2,1,2,2,,,,,,,,,,,,2,,2,1,1,,1,2,,1,1,,2,,2,2,,2,,,,,,,,,1,64,4,2,1,,,,,1,1,2,,1,,1,1,7,,1,1,,,,1,2,,,,,,4,1,1,4,,,,,,2,2,1,,,,3,2,2,1,,,,1,1,1,1,0.6914171,,6,4,0,7,0.5879043
11,1,140123,140123,1,0,1,1,3,,,,,,,4,1,1,1,9,1,2,1,1,2,4,,,,,,,,,1,2,2,2,2,2,1,1,2,2,2,2,2,,,,,1,,,,40,,,60,4,,,2,2,2,,,,,,,,,1,1,2,,,2,2,2,,,,,,,2,1,,,2,,1,2,1,2,2,1,2,,,1,2,1,5,,2,,,2,,,,,,,1,1,2,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,1,1,,2,,1,2,,1,2,,1,,,,,,,,,1,67,3,2,1,,,,,1,1,2,,1,,1,2,2,,1,1,,,,1,2,,,,,,99,2,1,4,,,,,,2,2,1,,,,1,2,2,1,,,,1,1,0,9,0.6950547,,8,5,0,7,0.9851861
12,1,140123,140123,1,0,1,1,2,,,,,,,4,1,2,2,2,2,1,1,2,8,8,,,,,,,,,2,1,1,2,2,1,2,2,2,1,2,1,1,,,,,4,50,,,,,,50,3,,,1,,,,,,,,,,,3,3,4,,,2,1,9,,,,,,,1,2,,,1,,2,1,2,1,2,2,2,,,1,1,2,1,,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,1,1,2,,2,,1,1,2,,,,,,,,,,2,50,8,2,1,,,,,1,6,2,,1,,2,4,6,,1,3,9,,,9,3,,,,,,9,4,2,,,,,,,1,,1,,,3,,2,2,1,,,,1,1,1,2,0.3446946,,-4,2,0,3,0.4270118
14,1,140124,140123,2,0,1,1,1,,,,,,,2,1,2,1,2,2,2,2,1,2,3,,,,,,,,,2,2,1,2,2,1,1,2,9,1,2,2,2,,,,,1,,,,2,,,98,5,,,1,,,,,,,,,,,2,3,1,,,2,2,2,,,,,,,2,1,,,2,,1,1,2,1,1,2,2,,,2,1,1,1,,2,,,1,,,,,,,2,,,,1,1,2,2,,,,,,,,,,,,2,,2,2,,1,1,1,,2,,2,9,,,1,1,,,,,,,,,,2,18,2,2,1,,,,,1,6,2,,13,,1,1,7,,1,1,,,,1,1,,,,,,99,1,1,4,,,,,,6,3,1,,,,2,1,1,1,,,,1,1,1,9,3.904422,,4,4,0,6,1.5129233
15,1,140123,140123,1,0,1,1,2,,,,,,,4,2,2,1,2,2,2,1,1,3,3,,,,,,,,,2,1,2,1,5,1,2,1,5,2,1,1,2,,,,,3,,,,60,,,40,2,,,1,,,,,,,,,,,1,3,2,,,1,2,2,,,,,,,1,2,,,9,,1,2,2,1,2,2,1,,,1,5,2,2,,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,1,1,1,,1,2,,9,,,,,,,,,,,1,62,6,2,1,,,,,1,6,2,,1,,2,2,1,,2,3,2,,,2,3,,,,,,,,2,,,,,,,2,2,1,,,,3,1,1,1,,,,1,1,1,,0.2571282,,-4,2,0,1,0.3381197
