eye_right_x,eye_right_y,sex,mouth l_y,mouth l_x,nose_x,nose_y,id,eye_left_x,eye_left_y,city,confidence,pose_pitch,emotion_calm,boundingbox_size_width,combined_age_guess,smile,mouth r_y,mouth_l_x,mouth_l_y,mouth_r_x,mouth_r_y,pose_roll,mouth r_x,emotion_angry,boundingbox_size_height,mouth_open_wide,emotion_sad,emotion_confused,emotion_happy,boundingbox_tl_y,boundingbox_tl_x,emotion_disgust,age,combined_gender_guess,eye_closed,pose_yaw,emotion_surprised,glasses
86.4,48.4,0,59.9,74.3,81.1,56.6,1a58d6425ee511e38b820e7db094518e_5.jpg,73.9,48.4,berlin,0.93,-12.79,,35.38,21.6666666667,0.58,59.6,74.3,59.9,86.1,59.6,-1.02,86.1,0.01,35.38,0.45,0.39,,0.98,35.38,63.08,,13.45,0.0,1,13.57,,0
85.1,46.9,0,70.9,64,72.2,60.1,bdfd807a60db11e380ff12cff1291c8a_5.jpg,60.9,45.8,berlin,1,-2.15,0.15,62.31,23.3333333333,0.59,70.9,64,70.9,80.9,70.9,2.69,80.9,,62.31,0,0.33,,0.48,22.31,41.54,,29.48,0.0,1,-3.48,,0
97.7,28.4,0.04,76,92.6,106.4,51,6f11a3d25d8511e3b30c0a74897ab205_5.jpg,71.7,43.9,moscow,1,-14.13,,90,23.0,0.57,63.8,92.6,76,110.5,63.8,-34.07,110.5,0.05,90,0.07,0.29,,0.83,3.08,43.85,,26.38,0.0,0.04,53.7,,0
98.6,44.3,0,71.8,68.5,82.6,59.8,446dacfe61bb11e3bf1e1259de3fdb70_5.jpg,69.4,44.8,sao_paulo,1,2.99,,67.69,38.6666666667,0.99,70.6,68.5,71.8,99,70.6,-1.31,99,,67.69,0.43,0.02,,1,20,48.46,,21.16,0.0,0,-7.87,0,0.63
82.3,29.4,0,52.3,65,65.5,44.7,039219b6608711e3a9bb0e5645a1b249_5.jpg,64.5,29.9,sao_paulo,1,-8.99,,56.15,23.6666666667,1,52.6,65,52.3,83.7,52.6,0.17,83.7,,56.15,0.12,,0.01,0.92,10,45.38,,18.77,0.0,0,-60.59,0.01,0
90.5,46,0,91.5,71.5,87.3,70.4,090013705e6211e3ab9a126ea4147b56_5.jpg,57,59.8,sao_paulo,1,-6.86,0.01,86.15,18.0,0.97,80.5,71.5,91.5,101.6,80.5,-26.9,101.6,,86.15,0.01,,0.01,0.99,20.77,28.46,,17.28,0.0,0,20.11,,0.6
110.5,52.4,0.2,75.7,80.7,105.5,67,55aa85de5d4f11e388c60e939af87ceb_5.jpg,85.2,47.4,sao_paulo,1,-0.38,,80,38.3333333333,0.89,81,80.7,75.7,103.2,81,9.8,103.2,,80,0.01,0.02,,1,19.23,58.46,0.01,29.84,0.0,0.02,63.55,,0
93.5,40.2,0.03,60.3,74.1,82.6,52.1,762a2a445e4411e38101120290a4979a_5.jpg,73.8,38.5,bangkok,1,-7.41,0.06,49.23,17.3333333333,0.85,61.9,74.1,60.3,89.1,61.9,4.67,89.1,,49.23,0,0.06,,0.73,21.54,58.46,,16.79,0.0,0,3.33,,0
85.3,95,0,116.2,52.7,71.3,111.3,6ca86264616011e38aa1125559adfe5f_5.jpg,59.8,88,bangkok,0.99,-6.96,,61.54,20.6666666667,0.94,121.5,52.7,116.2,70.3,121.5,14.53,70.3,0.02,61.54,0.24,,0.01,0.98,69.23,36.15,,17.98,0.0,0,35.98,,0
70.5,90.5,0,112.6,50.6,56.7,101.8,2a2acffc5e3711e389ba12538dcb3c3c_5.jpg,51.1,89.3,ny,0.97,0.57,,52.31,26.0,0.93,113.8,50.6,112.6,68.9,113.8,3.99,68.9,,52.31,0.93,0.12,0.02,0.98,70,33.85,,22.08,0.0,0,-29.34,,0
101.8,71,0.97,68.6,67.5,91.3,74.4,1578a5f2602111e3afcd12e97d8137d8_5.jpg,90.5,48.4,sao_paulo,1,12.29,,69.23,20.3333333333,0.32,85.8,67.5,68.6,77.2,85.8,63.07,77.2,,69.23,0.03,0.13,0.06,0.78,22.31,55.38,,13.36,1.0,0,52.67,,0.01
14.1,86.5,0.04,101.4,2.4,8.5,95.4,a08b763a61b911e3b3620e2466b91563_5.jpg,1.3,87.8,ny,1,-5.87,0.07,36.15,28.0,0.51,100.1,2.4,101.4,14.5,100.1,-5.9,14.5,,36.15,0,0.13,,0.89,72.31,-7.69,,22.87,0.0,0,3.07,,0.27
100.9,30.6,0.7,77.1,64.7,79.9,57.8,38e1e6fe5ead11e3a9da12f5459fb803_5.jpg,54.1,34.4,moscow,1,-5.76,0.17,95.38,22.0,0.71,76.2,64.7,77.1,95.8,76.2,-6.21,95.8,,95.38,0,,0.13,0.06,3.08,27.69,,14.66,0.0,0,3.98,,0
92.8,44.3,0.25,72.2,72.9,81.3,62.1,0b12115a5ede11e395e20aa496a2d2bb_5.jpg,65.6,43.7,ny,0.55,-10.21,0.03,81.54,23.6666666667,0.81,73.6,72.9,72.2,89.5,73.6,0.57,89.5,0.02,81.54,0.3,,,0.6,16.92,41.54,,19.3,1.0,0.66,8.62,,0.97
82.5,68.9,0.01,87.2,68.8,71.7,81.1,ae07e9345f7e11e3a6d8123d00789fee_5.jpg,65.4,69.4,berlin,0.97,-8.71,0.01,44.62,28.3333333333,0.97,87.3,68.8,87.2,82.1,87.3,-1.19,82.1,,44.62,0.09,0.01,,1,53.85,52.31,,20.46,0.0,0,-27.09,,0.02
63.4,38.6,1,73.2,51.4,55.2,54.6,5b83d0d05d2e11e387e21288611c7ec9_5.jpg,40.2,48.1,sao_paulo,1,7.22,0.67,74.62,23.6666666667,0.28,65.7,51.4,73.2,70.1,65.7,-23.5,70.1,,74.62,0,,0.11,0.37,13.08,16.15,,30.36,1.0,0.01,-7.5,,0.01
93.3,46.2,0,81.1,65.2,76.3,68.5,6777f7be61e711e385e50a1b276f21fd_5.jpg,58.6,48.9,berlin,1,-7.69,,84.62,27.6666666667,0.99,77.5,65.2,81.1,92.2,77.5,-5.38,92.2,,84.62,0.09,0.03,,0.96,14.62,33.08,0.04,29.95,0.0,0,-7.03,,0
84.6,44.1,0,78.6,60.3,70.9,64.3,0d00b8e25d4711e3b5750e3183fdef5a_5.jpg,54.7,49.1,moscow,1,-3.1,0.02,81.54,22.0,0.95,72.5,60.3,78.6,87.1,72.5,-10.83,87.1,0.01,81.54,0.08,,,0.94,16.15,29.23,,27.05,0.0,0.09,-4.92,,0.61
78.8,53.8,0,95.6,48.9,63.4,83.2,5b152e2c5d9d11e384041243d2856edf_5.jpg,39.9,58.7,bangkok,1,-17.8,,93.85,23.6666666667,0.97,90.5,48.9,95.6,79,90.5,-8.47,79,0.02,93.85,0,0.01,,0.93,22.31,13.85,,23.56,0.0,0,-0.97,,0
103.2,52.8,0.37,76.8,86.9,90.4,60.2,6e2c7c74613811e39f5e124de765e540_5.jpg,81,54,ny,0.05,16.08,,57.69,20.3333333333,0.99,75.6,86.9,76.8,99.6,75.6,-3.25,99.6,0.33,57.69,0.97,,,0.72,31.54,66.15,,0,1.0,0.39,-10.21,0.17,0.59
90.7,28.4,0.02,63.2,66.8,82.7,48.9,6ad74288616b11e39c0c12ad4d2f8dd0_5.jpg,63.6,29.9,bangkok,0.9,-3.18,,61.54,19.0,0.02,61.9,66.8,63.2,87.7,61.9,-4.1,87.7,0.03,61.54,0.29,,0.05,,11.54,40.77,,34.18,1.0,0,24.96,0.6,0
87.9,45.1,0.05,73.1,61.8,72.3,51.2,676cfcea5e8d11e3843212a88509fb30_5.jpg,58.2,43.4,sao_paulo,1,18.99,0.04,79.23,26.0,0,74,61.8,73.1,83.2,74,3.37,83.2,,79.23,0,0.65,,0.11,13.85,33.08,,25.22,0.0,0,-3.22,,0.03
