date,session,number,bill,question,result,description,yeatotal,naytotal 
2011-01-26,1,1,S.Res. 14,On the Resolution,Agreed to,"S.Res. 14; A resolution honoring the victims and heroes of the shooting on January 8, 2011 in Tucson, Arizona.",97,0 
2011-01-27,1,2,S.Res. 28,On the Resolution,Agreed to,S. Res. 28; A resolution to establish as a standing order of the Senate that a Senator publicly disclose a notice of intent to objecting to any measure or matter.,92,4 
2011-01-27,1,3,S.Res. 29,On the Resolution,Agreed to,S. Res. 29; A resolution to permit the waiving of the reading of an amendment if the text and adequate notice are provided.,81,15 
2011-01-27,1,4,S.Res. 8,On the Resolution,Rejected,S. Res. 8; A resolution amending the Standing Rules of the Senate to provide for cloture to be invoked with less than a three-fifths majority after additional debate.,12,84 
2011-01-27,1,5,S.Res. 10,On the Resolution,Rejected,S. Res. 10 As Amended; A resolution to improve the debate and consideration of legislative matters and nominations in the Senate.,44,51 
2011-01-27,1,6,S.Res. 21,On the Resolution,Rejected,S. Res. 21 As Amended; A resolution to amend the Standing Rules of the Senate to provide procedures for extended debate.,46,49 
2011-02-02,1,7,S. 223,On the Amendment S.Amdt. 28,Rejected,"Levin Amdt. No. 28; To repeal the expansion of information reporting requirements under the Patient Protection and Affordable Care Act, and for other purposes.",44,54 
2011-02-02,1,8,S. 223,On the Motion S.Amdt. 9,Agreed to,"Motion to Waive All Budgetary Discipline Re: Stabenow Amdt. No. 9; To repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.",81,17 
2011-02-02,1,9,S. 223,On the Motion S.Amdt. 13,Rejected,Motion to Waive All Applicable Budgetary Discipline Re: McConnell Amdt. No. 13; To repeal the job-killing health care law and health care-related provisions in the Health Care and Education Reconciliation Act of 2010.,47,51 
2011-02-03,1,10,S. 223,On the Amendment S.Amdt. 8,Agreed to,"Whitehouse Amdt. No. 8; To amend title 18, United States Code, to provide penalties for aiming laser pointers at airplanes, and for other purposes.",96,1 
2011-02-03,1,11,S. 223,On the Motion to Table S.Amdt. 19,Agreed to,Motion to Table Paul Amdt. No. 19; To limit the application of the Davis-Bacon Act in the case of projects funded under this Act.,55,42 
2011-02-07,1,12,PN36,On the Nomination,Confirmed,"Confirmation Diana Saldana, of Texas, to be U.S. District Judge",94,0 
2011-02-07,1,13,PN24,On the Nomination,Confirmed,"Confirmation Paul Kinloch Holmes III, of Arkansas, to be U.S. District Judge",95,0 
2011-02-08,1,14,S. 223,On the Amendment S.Amdt. 34,Agreed to,Nelson (FL) Amdt. No. 34; To strike section 605.,96,1 
2011-02-14,1,15,PN21,On the Nomination,Confirmed,"Confirmation Edward J. Davila, of California, to be United States District Judge for the Northern District of California",93,0 
2011-02-15,1,16,S. 223,On the Amendment S.Amdt. 58,Agreed to,Nelson (NE) Amdt. No. 58 As Amended; To impose a criminal penalty for unauthorized recording or distribution of images produced using advanced imaging technology during screenings of individuals at airports and upon entry to Federal buildings.,98,0 
2011-02-15,1,17,S. 223,On the Amendment S.Amdt. 14,Rejected,Wicker Amdt. No. 14 As Modified; To exclude employees of the Transportation Security Administration from the collective bargaining rights of Federal employees and provide employment rights and an employee engagement mechanism for passenger and property screeners.,47,51 
2011-02-15,1,18,S. 223,On the Motion to Table S.Amdt. 21,Agreed to,Motion to Table Paul Amdt. No. 21; To reduce the total amount authorized to be appropriated for the Federal Aviation Administration for fiscal year 2011 to the total amount authorized to be appropriated for the Administration for fiscal year 2008.,51,47 
2011-02-15,1,19,H.R. 514,On Passage of the Bill,Passed,"H.R. 514 As Amended; A bill to extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011.",86,12 
2011-02-17,1,20,S. 223,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on S. 223; A bill to modernize the air traffic control system, improve the safety, reliability, and availability of transportation by air in the United States, provide modernization of the air traffic control system, reauthorize the Federal Aviation Administration, and for other purposes.",96,2 
2011-02-17,1,21,S. 223,On the Motion to Table S.Amdt. 4,Agreed to,Motion to Table McCain Amdt. No. 4; To repeal the essential air service program.,61,38 
2011-02-17,1,22,S. 223,On the Motion to Table S.Amdt. 18,Agreed to,Motion to Table Paul Amdt. No. 18; To strike the provisions relating to clarifying a memorandum of understanding between the Federal Aviation Administration and the Occupational Safety and Health Administration.,52,47 
2011-02-17,1,23,S. 223,On the Motion to Table S.Amdt. 80,Rejected,Motion to Table Coburn Amdt. No. 80 As Modified; To limit essential air service to locations that are 100 or more miles away from the nearest medium or large hub airport.,34,65 
2011-02-17,1,24,S. 223,On the Motion to Table S.Amdt. 91,Agreed to,Motion to Table Coburn Amdt. No. 91; To decrease the Federal share of project costs under the airport improvement program for non-primary airports.,59,40 
2011-02-17,1,25,S. 223,On Passage of the Bill,Passed,"S. 223 As Amended; A bill to modernize the air traffic control system, improve the safety, reliability, and availability of transportation by air in the United States, provide modernization of the air traffic control system, reauthorize the Federal Aviation Administration, and for other purposes.",87,8 
2011-02-28,1,26,PN28,On the Nomination,Confirmed,"Confirmation Steve C. Jones, of Georgia, to be United States District Judge for the Northern District of Georgia",90,0 
2011-03-01,1,27,S. 23,On the Amendment S.Amdt. 121,Agreed to,Leahy-Grassley Amdt. No. 121 As Modified; To improve the bill.,97,2 
2011-03-01,1,28,S. 23,On the Motion to Table S.Amdt. 112,Agreed to,Motion to Table Toomey-Vitter Amdt. No. 112 As Modified; To require that the Government prioritize all obligations on the debt held by the public in the event that the debt limit is reached.,52,47 
2011-03-02,1,29,H.J.Res. 44,On the Joint Resolution,Agreed to,"H. J. Res. 44; A joint resolution making further continuing appropriations for fiscal year 2011, and for other purposes.",91,9 
2011-03-02,1,30,S. 23,On the Amendment S.Amdt. 115,Rejected,Lee Amdt. No. 115; To express the sense of the Senate in support of a balanced budget amendment to the Constitution.,58,40 
2011-03-03,1,31,S. 23,On the Motion to Table S.Amdt. 133,Agreed to,Motion to Table Feinstein Amdt. No. 133 As Modified; To strike the first inventor to file requirement.,87,13 
2011-03-07,1,32,PN37,On the Nomination,Confirmed,"Confirmation James E. Shadid, of Illinois, to be U.S. District Judge for the Central District of Illinois",89,0 
2011-03-07,1,33,PN10,On the Nomination,Confirmed,"Confirmation Anthony J. Battaglia, of California, to the be United States District Judge for the Southern District of California",89,0 
2011-03-07,1,34,S. 23,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on S. 23; A bill to amend title 35, United States Code, to provide for patent reform.",87,3 
2011-03-08,1,35,S. 23,On Passage of the Bill,Passed,"S. 23 as Amended; A bill to amend title 35, United States Code, to provide for patent reform.",95,5 
2011-03-09,1,36,H.R. 1,On Passage of the Bill,Rejected,"H.R. 1; A bill making appropriations for the Department of Defense and the other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes.",44,56 
2011-03-09,1,37,H.R. 1,On the Amendment S.Amdt. 149,Rejected,Inouye Amdt. No. 149; In the nature of a substitute.,42,58 
2011-03-10,1,38,PN17,On the Nomination,Confirmed,"Confirmation Max Oliver Cogburn, Jr., of North Carolina, to be U.S. District Judge",96,0 
2011-03-14,1,39,PN12,On the Nomination,Confirmed,"Confirmation James Emanuel Boasberg, of the District of Columbia, to be U.S. District Judge",96,0 
2011-03-14,1,40,S. 493,On the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 493; A bill to reauthorize and improve the SBIR and STTR programs, and for other purposes.",84,12 
2011-03-16,1,41,S. 493,On the Amendment S.Amdt. 182,Agreed to,Nelson (NE) Amdt. No. 182; Of a perfecting nature.,98,1 
2011-03-16,1,42,S. 493,On the Amendment S.Amdt. 193,Agreed to,Snowe Amdt. No. 193; To strike the Federal authorization of the National Veterans Business Development Corporation.,99,0 
2011-03-16,1,43,S. 493,On the Amendment S.Amdt. 216,Agreed to,Casey Amdt. No. 216; To require contractors to notify small business concerns that have been included in offers relating to contracts let by Federal agencies.,99,0 
2011-03-17,1,44,H.J.Res. 48,On the Joint Resolution,Agreed to,"H.J.Res. 48; A joint resolution making further continuing appropriations for fiscal year 2011, and for other purposes.",87,13 
2011-03-17,1,45,PN26,On the Nomination,Confirmed,"Confirmation Amy Berman Jackson, of the District of Columbia, to be U.S. District Judge",97,0 
2011-03-28,1,46,PN18,On the Nomination,Confirmed,"Confirmation Mae A. D'Agostino, of New York, to be U.S. District Judge",88,0 
2011-04-04,1,47,PN1,On the Nomination,Confirmed,"Confirmation Jimmie V. Reyna, of Maryland, to be United States Circuit Judge for the Federal Circuit",86,0 
2011-04-05,1,48,H.R. 4,On the Amendment S.Amdt. 284,Rejected,Menendez Amdt. No. 284; To protect small businesses from health insurance premium increases or losses of health insurance coverage.,41,58 
2011-04-05,1,49,H.R. 4,On Passage of the Bill,Passed,"H.R. 4; A bill to repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.",87,12 
2011-04-05,1,50,S. 493,On the Motion to Table,Agreed to,"Motion to Table Paul Motion to Commit S. 493, to Committee on Foreign Relations, with Instructions; A bill to reauthorize and improve the SBIR and STTR programs, and for other purposes.",90,10 
2011-04-06,1,51,S. 493,On the Amendment S.Amdt. 236,Rejected,Baucus Amdt. No. 236; To prohibit the regulation of greenhouse gases from certain sources.,7,93 
2011-04-06,1,52,S. 493,On the Amendment S.Amdt. 277,Rejected,"Stabenow Amdt. No. 277; To suspend, for 2 years, any Environmental Protection Agency enforcement of greenhouse gas regulations, to exempt American agriculture from greenhouse gas regulations, and to increase the number of companies eligible to participate in the successful Advanced Energy Manufacturing Tax Credit Program.",7,93 
2011-04-06,1,53,S. 493,On the Amendment S.Amdt. 215,Rejected,"Rockefeller Amdt. No. 215; To suspend, until the end of the 2-year period beginning on the date of enactment of this Act, any Environmental Protection Agency action under the Clean Air Act with respect to carbon dioxide or methane pursuant to certain proceedings, other than with respect to motor vehicle emissions.",12,88 
2011-04-06,1,54,S. 493,On the Amendment S.Amdt. 183,Rejected,"McConnell Amdt. No. 183; To prohibit the Administrator of the Environmental Protection Agency from promulgating any regulation concerning, taking action relating to, or taking into consideration the emission of a greenhouse gas to address climate change.",50,50 
2011-04-06,1,55,S. 493,On the Amendment S.Amdt. 281,Agreed to,Coburn Amdt. No. 281; To save at least $20 million annually by ending federal unemployment payments to jobless millionaires and billionaires.,100,0 
2011-04-06,1,56,S. 493,On the Amendment S.Amdt. 286,Rejected,Inouye Amdt. No. 286; To provide for the Director of the Office of Management and Budget to submit recommended rescissions in accordance with the Congressional Budget and Impoundment Control Act of 1974 for Government programs and agencies with duplicative and overlapping missions.,57,43 
