Name;ReleaseDate;Action;Adventure;Children;Comedy;Crime;Documentary;Drama;Fantasy;Noir;Horror;Musical;Mystery;Romance;SciFi;Thriller;War;Western;AvgRating;Watches
Toy Story;1995;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.15;2077
Jumanji;1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.2;701
Grumpier Old Men;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.02;478
Waiting to Exhale;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.73;170
Father of the Bride Part II;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.01;296
Heat;1995;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3.88;940
Sabrina;1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.41;458
Tom and Huck;1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.01;68
Sudden Death;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.66;102
GoldenEye;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.54;888
The American President;1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.79;1033
Dracula: Dead and Loving It;1995;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2.36;160
Balto;1995;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.26;99
Nixon;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;153
Cutthroat Island;1995;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.46;146
Casino;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.79;682
Sense and Sensibility;1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.03;835
Four Rooms;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.34;157
Ace Ventura: When Nature Calls;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.48;389
Money Train;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.54;160
