;A;B;C
R1;1;0;0
R2;0;0;1
R3;1;1;0
R4;1;0;0
R5;0;1;1
R6;0;0;1
R7;0;0;0
R8;0;0;0
R9;0;0;1
R10;0;1;0
R11;0;0;0
R12;1;1;1
R13;1;1;0
R14;0;0;0
R15;1;1;0
R16;0;1;0
R17;1;1;1
R18;1;0;0
R19;1;0;0
R20;0;0;0
R21;0;0;0
R22;0;1;0
R23;1;0;1
R24;1;1;1
R25;1;1;1
R26;0;1;1
R27;1;0;0
R28;0;0;1
R29;0;1;1
R30;0;1;0
R31;0;0;1
R32;1;0;0
R33;0;1;0
R34;0;1;0
R35;1;1;0
R36;0;0;1
R37;1;0;0
R38;0;1;1
R39;1;1;1
R40;1;1;1
R41;0;1;1
R42;1;1;0
R43;1;0;1
R44;0;0;0
R45;0;0;0
R46;0;1;1
R47;1;1;0
R48;0;0;0
R49;0;0;1
R50;1;0;0
R51;0;0;1
R52;0;1;1
R53;1;1;0
R54;1;0;0
R55;1;0;1
R56;1;0;0
R57;1;0;0
R58;1;1;0
R59;1;0;1
R60;0;0;0
R61;1;0;0
R62;0;1;1
R63;0;0;1
R64;0;1;0
R65;0;1;0
R66;1;1;1
R67;1;0;0
R68;0;0;0
R69;1;1;0
R70;0;1;1
R71;0;1;0
R72;0;1;0
R73;0;1;0
R74;1;0;1
R75;1;1;0
R76;0;0;0
R77;0;1;1
R78;0;1;1
R79;0;0;1
R80;0;0;0
R81;0;1;1
R82;1;1;1
R83;1;1;1
R84;1;1;1
R85;1;1;0
R86;0;0;0
R87;1;0;1
R88;1;1;1
R89;0;0;1
R90;1;0;0
R91;1;0;0
R92;0;1;1
R93;0;0;1
R94;1;1;0
R95;0;0;1
R96;1;0;1
R97;1;0;0
R98;1;1;1
R99;0;1;1
R100;0;1;1
R101;1;0;0
R102;0;0;0
R103;1;0;0
R104;0;1;1
R105;1;0;1
R106;0;1;0
R107;1;0;1
R108;0;0;0
R109;1;1;0
R110;0;1;0
R111;0;0;0
R112;0;0;1
R113;0;0;1
R114;1;1;1
R115;1;0;0
R116;1;0;0
R117;0;0;0
R118;0;1;0
R119;1;1;1
R120;0;0;1
R121;0;1;1
R122;0;0;0
R123;1;0;0
R124;0;0;1
R125;0;1;0
R126;0;0;0
R127;0;0;1
R128;1;0;1
R129;1;0;0
R130;0;0;0
R131;0;1;0
R132;1;0;0
R133;1;1;1
R134;1;1;1
R135;1;0;1
R136;0;0;1
R137;1;0;1
R138;1;1;1
R139;0;0;1
R140;1;0;0
R141;0;0;1
R142;1;1;0
R143;0;0;1
R144;0;1;1
R145;1;0;1
R146;1;1;0
R147;0;1;1
R148;0;1;1
R149;0;0;0
R150;1;1;1
R151;1;0;0
R152;0;0;1
R153;0;1;1
R154;0;0;1
R155;1;1;1
R156;0;1;0
R157;0;0;0
R158;1;1;0
R159;0;1;1
R160;0;0;0
R161;0;0;1
R162;1;0;0
R163;1;1;1
R164;0;1;0
R165;1;0;1
R166;1;1;1
R167;0;1;0
R168;0;1;1
R169;0;0;0
R170;1;1;0
R171;0;1;1
R172;1;0;1
R173;1;0;0
R174;0;0;1
R175;1;0;1
R176;1;1;1
R177;0;1;1
R178;0;1;0
R179;1;1;1
R180;0;0;0
R181;1;0;0
R182;0;1;0
R183;0;1;0
R184;1;0;0
R185;1;1;0
R186;0;0;1
R187;0;1;1
R188;1;0;0
R189;0;0;1
R190;1;0;0
R191;1;0;1
R192;0;0;0
R193;0;1;1
R194;1;1;0
R195;0;1;1
R196;1;0;1
R197;0;1;1
R198;1;1;1
R199;0;1;0
R200;1;1;0
R201;1;1;0
R202;1;1;0
R203;1;0;0
R204;1;0;0
R205;1;1;0
R206;0;0;1
R207;0;1;0
R208;1;1;1
R209;0;0;0
R210;0;1;1
R211;1;1;0
R212;0;1;0
R213;1;0;0
R214;0;1;0
R215;0;1;1
R216;0;1;0
R217;1;0;0
R218;0;1;0
R219;1;1;1
R220;1;0;1
R221;0;1;1
R222;1;0;0
R223;0;1;0
R224;0;1;0
R225;1;0;1
R226;1;0;1
R227;0;1;1
R228;0;1;1
R229;0;0;1
R230;0;1;0
R231;0;1;1
R232;0;1;1
R233;1;0;1
R234;1;0;1
R235;0;1;0
R236;1;1;1
R237;0;0;1
R238;0;1;0
R239;1;1;1
R240;1;1;1
R241;1;0;0
R242;1;1;1
R243;1;0;0
R244;0;0;1
R245;0;0;1
R246;1;0;1
R247;0;0;1
R248;1;0;0
R249;0;1;0
R250;0;0;1
R251;1;1;1
R252;0;1;1
R253;1;1;0
R254;1;0;0
R255;1;1;0
R256;1;1;1
R257;0;1;1
R258;1;0;0
R259;1;1;1
R260;1;1;1
R261;0;0;0
R262;1;0;0
R263;0;0;1
R264;0;0;1
R265;0;1;0
R266;0;1;0
R267;1;0;1
R268;1;0;1
R269;1;1;0
R270;1;1;0
R271;0;1;1
R272;0;1;1
R273;1;0;1
R274;1;1;1
R275;0;0;0
R276;1;0;1
R277;1;0;1
R278;0;1;0
R279;1;1;1
R280;1;0;1
R281;0;0;1
R282;0;0;1
R283;0;1;1
R284;0;1;1
R285;1;0;1
R286;1;1;0
R287;1;1;1
R288;0;0;1
R289;0;1;0
R290;1;0;0
R291;1;1;0
R292;1;1;0
R293;0;1;1
R294;0;1;0
R295;1;0;0
R296;1;0;0
R297;0;1;0
R298;1;0;1
R299;0;0;1
R300;1;0;1
R301;0;0;0
R302;0;1;1
R303;1;0;0
R304;1;0;1
R305;0;1;0
R306;0;1;1
R307;1;1;1
R308;1;0;0
R309;0;1;0
R310;0;0;1
R311;1;0;0
R312;1;1;0
R313;0;1;0
R314;0;0;0
R315;1;1;0
R316;0;0;1
R317;1;1;0
R318;1;0;1
R319;0;0;0
R320;0;1;0
R321;0;0;0
R322;0;1;1
R323;1;1;1
R324;1;1;1
R325;1;1;0
R326;1;1;0
R327;0;0;1
R328;1;0;0
R329;0;1;0
R330;1;0;1
R331;1;1;0
R332;1;0;0
R333;0;0;0
R334;1;0;0
R335;1;0;0
R336;0;0;1
R337;1;0;0
R338;0;1;1
R339;0;0;1
R340;0;0;0
R341;1;0;0
R342;0;0;0
R343;1;1;0
R344;0;0;0
R345;0;1;0
R346;1;0;1
R347;0;0;0
R348;0;0;0
R349;0;1;0
R350;1;0;1
R351;1;1;0
R352;1;1;0
R353;0;0;1
R354;0;0;0
R355;0;1;0
R356;1;1;1
R357;1;1;0
R358;1;1;1
R359;1;0;0
R360;0;1;0
R361;0;0;0
R362;1;0;0
R363;1;1;0
R364;1;1;1
R365;0;1;1
R366;0;0;0
R367;0;1;1
R368;0;1;1
R369;1;0;1
R370;1;0;1
R371;1;0;0
R372;0;0;0
R373;1;1;1
R374;1;1;1
R375;1;0;1
R376;0;0;1
R377;0;0;0
R378;1;1;1
R379;1;0;0
R380;0;1;0
R381;1;0;1
R382;0;0;1
R383;1;1;1
R384;1;0;0
R385;1;0;1
R386;0;0;1
R387;1;1;0
R388;0;0;1
R389;1;0;1
R390;1;0;0
R391;1;0;0
R392;0;1;0
R393;0;1;0
R394;0;0;0
R395;1;0;1
R396;1;0;1
R397;1;1;1
R398;1;1;0
R399;0;0;1
R400;1;1;1
R401;0;0;0
R402;1;0;1
R403;1;1;1
R404;0;1;1
R405;0;0;1
R406;0;0;0
R407;1;1;1
R408;1;0;1
R409;0;0;0
R410;0;0;1
R411;0;0;0
R412;1;0;1
R413;1;0;1
R414;1;0;0
R415;1;0;0
R416;0;1;0
R417;0;0;1
R418;1;0;0
R419;1;0;0
R420;1;1;1
R421;0;0;0
R422;0;1;0
R423;1;0;1
R424;1;1;1
R425;0;1;1
R426;1;0;0
R427;1;0;1
R428;0;1;0
R429;0;0;1
R430;1;0;0
R431;1;0;0
R432;1;0;1
R433;1;0;0
R434;1;0;1
R435;0;0;1
R436;0;1;1
R437;1;1;0
R438;1;1;1
R439;1;1;1
R440;0;1;1
R441;0;0;1
R442;1;0;0
R443;0;1;0
R444;1;0;0
R445;1;0;0
R446;0;1;1
R447;1;0;0
R448;1;1;0
R449;1;0;1
R450;0;1;1
R451;0;0;1
R452;0;0;0
R453;0;0;1
R454;0;1;0
R455;0;0;1
R456;1;0;0
R457;1;1;1
R458;1;1;0
R459;1;1;1
R460;0;0;1
R461;1;1;0
R462;0;1;1
R463;0;1;1
R464;0;0;1
R465;1;1;1
R466;0;1;1
R467;0;1;1
R468;1;0;0
R469;0;1;0
R470;1;1;0
R471;0;1;1
R472;0;1;1
R473;0;0;1
R474;0;1;1
R475;1;0;1
R476;1;1;0
R477;0;0;1
R478;0;0;0
R479;1;0;0
R480;0;0;0
R481;1;0;1
R482;0;1;0
R483;1;1;0
R484;1;0;0
R485;0;0;1
R486;0;0;1
R487;0;0;1
