	School	Blue Hair	Duff Fan	Evil	Male	Power Plant	Age
Lisa	1	0	0	0	0	0	8
Bart	1	0	0	0	1	0	10
Homer	0	0	1	0	1	1	40
Marge	0	1	0	0	0	0	36
Maggie	0	0	0	0	0	0	1
Barney	0	0	1	0	1	0	39
Mr. Burns	0	0	0	1	1	1	90
Mo	0	0	1	0	1	0	41
Ned	0	0	0	0	1	0	42
Milhouse	1	1	0	0	1	0	10
Grampa	0	0	0	0	1	0	85
Krusty	0	0	1	1	1	0	46
Smithers	0	0	0	1	1	1	33
Ralph	1	0	0	0	1	0	8
Sideshow Bob	0	0	0	1	1	0	37
Kent Brockman	0	0	0	0	1	0	45
Fat Tony	0	0	0	1	1	0	50
Jacqueline Bouvier 	0	1	0	0	0	0	76
Patty Bouvier	0	0	0	0	0	0	45
Selma Bouvier	0	0	0	0	0	0	45
Lenny Leonard	0	0	1	0	1	1	38
Carl Carlson	0	0	1	0	1	1	37
Nelson	1	0	0	1	1	0	11
Martin Prince	1	0	0	0	1	0	10
