Name;Facebook;Flickr;GMail;Google+;LastFM;LinkedIN;Twitter;Degree
1;0;0;1;0;0;0;0;3
2;0;0;0;0;0;0;1;24
3;0;0;0;0;0;1;0;9
4;0;0;1;0;0;0;0;13
5;0;0;0;0;0;1;0;7
6;1;0;1;0;0;1;1;61
7;0;0;1;0;0;0;0;30
8;0;0;1;0;0;0;0;23
9;1;0;1;1;0;0;1;104
10;1;0;0;1;1;1;0;43
11;0;0;1;0;0;0;0;8
12;1;0;0;0;0;0;0;1
13;1;0;0;0;0;0;0;3
14;0;0;1;1;0;1;0;35
15;0;0;0;0;0;1;0;6
16;1;0;1;0;0;0;0;9
17;0;0;0;1;0;0;0;1
18;0;0;1;0;0;1;0;7
19;1;0;0;0;0;0;0;14
20;1;0;0;0;0;0;0;1
21;1;0;0;0;0;0;0;12
22;1;0;0;0;0;0;0;15
23;1;0;0;0;0;0;0;7
24;1;0;0;0;0;0;0;22
25;1;0;0;0;0;0;0;7
26;1;0;0;0;0;1;0;10
27;1;0;0;0;0;0;0;11
28;1;0;0;0;0;0;0;15
29;1;0;1;1;0;1;0;77
30;0;0;1;0;0;0;0;3
31;0;0;0;0;0;0;1;34
32;0;1;1;1;0;1;0;40
33;0;0;1;0;0;0;0;1
34;0;0;1;0;0;0;0;2
35;0;0;0;0;0;1;0;3
36;1;0;0;0;0;0;0;7
37;1;0;0;0;0;1;0;37
38;1;0;0;0;0;0;0;5
39;0;0;1;0;0;0;0;37
40;0;0;1;0;0;0;0;1
41;0;0;1;0;0;0;0;2
42;0;0;1;0;0;0;0;17
43;0;0;0;0;0;1;0;3
44;0;0;0;0;0;0;1;25
45;0;0;1;0;0;0;0;36
46;0;0;1;0;0;0;0;19
47;0;0;0;0;0;1;0;7
48;0;0;1;0;0;1;0;8
49;1;0;0;0;0;0;0;5
50;0;0;0;0;1;0;0;6
51;0;0;1;0;0;0;0;34
52;0;0;0;1;0;0;0;2
53;1;0;1;1;0;1;0;74
54;1;0;0;0;0;0;0;4
55;1;0;0;0;0;0;0;8
56;1;0;0;0;0;0;0;5
57;1;0;0;0;0;1;1;32
58;1;0;0;0;0;1;0;17
59;0;0;1;0;0;0;0;1
60;1;1;0;0;0;0;0;13
61;1;0;0;0;0;1;0;25
62;1;0;0;0;0;1;0;5
63;1;0;0;0;0;0;0;16
64;1;0;0;0;0;0;0;5
65;1;0;1;1;0;1;0;181
66;1;0;0;0;0;0;0;8
67;0;0;0;0;0;1;0;2
68;0;0;1;0;0;0;0;4
69;1;0;0;0;0;0;0;2
70;0;0;0;0;0;1;0;1
71;0;0;1;0;0;0;0;3
72;0;0;1;0;0;0;0;34
73;0;0;1;0;0;1;0;4
74;0;0;1;0;0;0;0;35
76;1;0;0;0;0;0;0;2
77;1;0;0;0;0;0;0;7
78;0;1;0;0;0;1;0;20
79;0;0;0;0;1;0;0;1
80;1;0;0;0;0;0;0;6
