ASIN,Battery Life,Batteries,Brand Name,Color,Computer Memory Type,Customer Reviews,Date First Available,Flash Memory Size,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Weight,Item model number,Operating System,Processor,Processor Brand,Processor Count,RAM,Screen Resolution,Screen Size,Series,Wireless Type,image,name,url,Chipset Brand,Graphics Coprocessor,Max Screen Resolution,Power Source,Rear Webcam Resolution,Memory Speed,Battery Type,Product Dimensions,Size (LWH),Processors Count,RAM Type,Size,Type,Rated Charge (normal use),FireWire Ports,LCD Native Resolution,Number of USB 2.0 Ports,Speakers,USB 2.0 Ports,Number of USB 3.0 Ports,Memory Slots
B00746W3HG,10,1 Lithium ion batteries required. (included),Apple,Black,DDR2 SDRAM,4.6,10/26/2012,16 GB,16 GB ssd,Serial ATA,0.28x5.28x7.87 inches,10.9,MD528LL/A,Apple iOS 6,2.4 GHz Apple A5,Apple,1,1 GB,1024x768,7.9'',iPad Mini,"802.11bgn, 802.11abg",http://ecx.images-amazon.com/images/I/410bhJuI-VL._SY300_.jpg,"Apple iPad Mini MD528LL/A (16GB, Wi-Fi, Black & Slate)",http://www.amazon.com/Apple-MD528LL-Wi-Fi-Black-Slate/dp/B00746W3HG/ref=sr_1_1?s=pc&ie=UTF8&qid=1373500739&sr=1-1,,,,,,,,,,,,,,,,,,,,,
B0013FRNKG,10,1 Lithium ion batteries required. (included),Apple,Black,DDR SDRAM,4.4,3/2/2011,16 GB,16 GB,Serial ATA,7.69x9.89x1.79 inches,20.8,PC769LL/A,Apple iOS 5,1 GHz Apple A5,Apple,1,0.512 GB DDR2,1024x768,9.7'',iPad 2,802.11abg,http://ecx.images-amazon.com/images/I/41gtLiEuNdL._SY300_.jpg,"Apple iPad 2 MC769LL/A Tablet (16GB, WiFi, Black) 2nd Generation",http://www.amazon.com/Apple-MC769LL-Tablet-Black-Generation/dp/B0013FRNKG/ref=sr_1_6?s=pc&ie=UTF8&qid=1373500739&sr=1-6,Imagination Technologies,PowerVR SGX543MP2,1024x768,Battery,0.7	MP,,,,,,,,,,,,,,,,
B00746W9F2,10,1 Lithium ion batteries required. (included),Apple,White,SIMM,4.6,10/26/2012,16 GB,16 GB ssd,Raid,8.20x5.10x1.20 inches,10.9,MD531LL/A,Apple iOS 6,2.4 GHz Apple A5,Apple,1,1 GB,1024x769,7.9'',iPad Mini,"802.11bgn, 802.11abg",http://ecx.images-amazon.com/images/I/41E0YyTaNtL._SY300_.jpg,"Apple iPad Mini MD531LL/A (16GB, Wi-Fi, White)",http://www.amazon.com/Apple-iPad-MD531LL-Wi-Fi-White/dp/B00746W9F2/ref=sr_1_3?s=pc&ie=UTF8&qid=1373500739&sr=1-3,,,,,,,,,,,,,,,,,,,,,
B009W8YQ6K,10,1 Lithium ion batteries required. (included),Apple,Black,SIMM,4.6,10/26/2012,16 GB,16 GB ssd,Serial ATA,9.50x7.31x0.37 inches,22.4,MD510LL/A,Apple iOS 6,1 GHz Apple A6,Apple,2,1 GB SIMM,2048x1536,9.7'',iPad,"802.11bgn, 802.11abg",http://ecx.images-amazon.com/images/I/41IMj%2BYYcyL._SY300_.jpg,"Apple iPad with Retina Display MD510LL/A (16GB, Wi-Fi, Black) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD510LL-VERSION/dp/B009W8YQ6K/ref=sr_1_2?s=pc&ie=UTF8&qid=1373500739&sr=1-2,,,2048x1536,Battery,5	MP,,,,,,,,,,,,,,,,
B009W9BQMQ,10,1 Lithium ion batteries required. (included),Apple,White,SIMM,4.6,10/26/2012,16 GB,16 GB,Solid State,9.50x7.31x0.37 inches,22.4,MD513LL/A,Apple iOS 6,1 GHz Apple A6,Apple,2,1 GB DDR2,,9.7'',iPad,"802.11bgn, 802.11abg",http://ecx.images-amazon.com/images/I/41fTL1EV8yL._SY300_.jpg,"Apple iPad with Retina Display MD513LL/A (16GB, Wi-Fi, White) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD513LL-VERSION/dp/B009W9BQMQ/ref=sr_1_4?s=pc&ie=UTF8&qid=1373500739&sr=1-4,Imagination Technologies,PowerVR SGX543MP4,,,5	MP,,,,,,,,,,,,,,,,
B009W9AEOM,10,,Apple,Black,SIMM,4.6,10/26/2012,32 GB,32 GB,Solid State,9.50x7.31x0.37 inches,22.4,MD511LL/A,Apple iOS 6,1 GHz Apple A6,Apple,1,1 GB DDR2,,9.7'',iPad,,http://ecx.images-amazon.com/images/I/31Ry7BZiAwL._SY300_.jpg,"Apple iPad with Retina Display MD511LL/A (32GB, Wi-Fi, Black) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD511LL-VERSION/dp/B009W9AEOM/ref=sr_1_5?s=pc&ie=UTF8&qid=1373500739&sr=1-5,Imagination Technologies,PowerVR SGX543MP4,,,5	MP,,,,,,,,,,,,,,,,
B0047DVWLW,10,,Apple,White,DDR2 SDRAM,4.4,3/2/2011,16 GB,8 GB,Serial ATA,7.31x9.50x0.34 inches,20.8,MC979LL/A,Apple iOS 4,1 GHz Apple A5,Apple,2,0.512 GB DDR2,1024x768,9.7'',iPad 2,"802.11abg, Bluetooth, 802.11n",http://ecx.images-amazon.com/images/I/41xolv8eXoL._SY300_.jpg,"Apple iPad 2 MC979LL/A Tablet (16GB, Wifi, White) 2nd Generation (MC989LL/A)",http://www.amazon.com/Apple-MC979LL-Tablet-Generation-MC989LL/dp/B0047DVWLW/ref=sr_1_8?s=pc&ie=UTF8&qid=1373500739&sr=1-8,Imagination Technologies,PowerVR SGX543MP2,1024x768,Battery,0.3	MP,1066 MHz,,,,,,,,,,,,,,,
B00746WCEA,10,1 Lithium ion batteries required. (included),Apple,White,SIMM,4.6,10/26/2012,32 GB,16 GB,Raid,0.28x5.28x7.87 inches,10.9,MD532LL/A,Apple iOS 6,2.4 GHz Apple A5,Apple,1,1 GB,,7.9'',MD532LL/A,802.11bgn,http://ecx.images-amazon.com/images/I/417WdPfX1PL._SY300_.jpg,"Apple iPad Mini MD532LL/A (32GB, Wi-Fi, White)",http://www.amazon.com/Apple-iPad-MD532LL-Wi-Fi-White/dp/B00746WCEA/ref=sr_1_10?s=pc&ie=UTF8&qid=1373500739&sr=1-10,,NVIDIA,,,5	MP,,,,,,,,,,,,,,,,
B009W9BYQ4,10,,Apple,White,SIMM,4.6,10/26/2012,32 GB,32 GB,Solid State,9.50x7.31x0.37 inches,22.4,MD514LL/A,Apple iOS 6,1 GHz Apple A6,Apple,1,1 GB DDR2,,9.7'',iPad,802.11bgn,http://ecx.images-amazon.com/images/I/31E54POWBNL._SY300_.jpg,"Apple iPad with Retina Display MD514LL/A (32GB, Wi-Fi, White) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD514LL-VERSION/dp/B009W9BYQ4/ref=sr_1_7?s=pc&ie=UTF8&qid=1373500739&sr=1-7,Imagination Technologies,PowerVR SGX543MP4,,,5	MP,,,,,,,,,,,,,,,,
B00746W5EM,10,1 Lithium ion batteries required. (included),Apple,Black,SIMM,4.6,10/26/2012,32 GB,16 GB,Raid,0.28x5.28x7.87 inches,10.9,MD529LL/A,Apple iOS 6,1 GHz Apple A5,Apple,1,1 GB,,7.9'',iPad Mini,802.11bgn,http://ecx.images-amazon.com/images/I/41tErFX7V9L._SY300_.jpg,"Apple iPad Mini MD529LL/A (32GB, Wi-Fi, Black)",http://www.amazon.com/Apple-iPad-MD529LL-Wi-Fi-Black/dp/B00746W5EM/ref=sr_1_9?s=pc&ie=UTF8&qid=1373500739&sr=1-9,,,,,5	MP,,,,,,,,,,,,,,,,
