Movie Title,Passes Bechdel Test?,Number of Criteria Passed,Clarity of Pass,Has at least two [named] women in it,The women talk to each other,The women talk about something besides a man,Genre,Director,Main Actors,Production Company,Plot Keywords (top 10),Year,Rating,Runtime (min),Plot,Language,Country,Image,IMDb Popularity Score,Award Popularity,IMDb rating,IMDb votes,Nominations,Wins,IMDB Link
[REC]3 Genesis (2012),Yes,3,Clear,Pass,Pass,Pass,Horror,Paco Plaza,"Leticia Dolera, Diego Martín, Ismael Martínez, Àlex Monner","Canal+ España, Filmax, Generalitat de Catalunya - Institut Català de les Indústries Culturals 
(ICIC)","wedding, infection, church, third part, female stockinged sole, pantyhose, foot closeup, camera shot of feet, female stockinged foot, pregnant woman murdered",2012,Restricted,80,A couple's wedding day turns horrific as some of the guests start showing signs of a strange illness.,"Spanish, Catalan, French",Spain,http://ia.media-imdb.com/images/M/MV5BNDM3OTUzMTA1OF5BMl5BanBnXkFtZTcwNTkwMTE3Nw@@._V1_SX300.jpg,101266,21,5.1,"19,856",6,3,http://www.imdb.com/title/tt1649444/
+1 (2013),Yes,3,Dubious,Pass,Pass,Pass,"Sci-Fi, Thriller",Dennis Iliadis,"Rhys Wakefield, Logan Miller, Ashley Hinshaw, Natalie Hall","Process Films, Process Media","party, college, hero kills a woman, woman stabbed, nude kickboxing, nude fight, time loop, passed out, fear, blood",2013,Not Rated,95,"Three college friends hit the biggest party of the year, where a mysterious phenomenon disrupts the night, quickly descending into a chaos that challenges their friendships -- and whether they can stay alive.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTQwOTA5Mzc3Ml5BMl5BanBnXkFtZTgwOTkxODAxMDE@._V1_SX300.jpg,22693,,5.5,"4,126",,,http://www.imdb.com/title/tt2395385/
11 Flowers (2011),Yes,3,Dubious,Pass,Pass,Pass,Drama,Xiaoshuai Wang,"Gang Cao, Shiping Cao, Wenqing Liu, Yihao Lou",,"childhood friend, pregnant from rape, sentenced to death, death penalty, semi autobiographical, fever, avenging one's sister, widower, man crying, reference to claude monet",2011,Not Rated,110,,"Mandarin, Shanghainese","China, France",http://ia.media-imdb.com/images/M/MV5BMTQwOTYyMTU1NF5BMl5BanBnXkFtZTgwOTQ4MzE2MDE@._V1_SX300.jpg,2583,6,7,369,6,,http://www.imdb.com/title/tt2042432/
12 Years a Slave (2013),Yes,3,Clear,Pass,Pass,Pass,"Biography, Drama, History",Steve McQueen,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","Regency Enterprises, River Road Entertainment, Plan B Entertainment","slave, physical abuse, male frontal nudity, male rear nudity, male full frontal nudity, slavery, sold into slavery, new york, abolitionist, slave owner",2013,Restricted,134,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",English,"United States, United Kingdom",http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,2214353,"1,326",8.2,"270,043",211,223,http://www.imdb.com/title/tt2024544/
127 Hours (2010),Yes,3,Dubious,Pass,Pass,Pass,"Adventure, Biography, Drama",Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Sean Bott","Twentieth Century Fox, Pathé, Everest Entertainment","aron ralston, based on autobiography, canyon, alone, utah, mountain climber, hiker, water, trapped, two word title",2010,Restricted,94,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","English, Italian","United States, United Kingdom",http://ia.media-imdb.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,1770253,248,7.7,"229,903",118,26,http://www.imdb.com/title/tt1542344/
13 Assassins (2010),No,1,,Pass,Fail,Fail,"Action, Adventure, Drama",Takashi Miike,"Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya, Ikki Sawamura","Sedic International, Recorded Picture Company (RPC), Asahi Broadcasting Corporation","samurai, shogun, lord, suicide, suicide mission, guide, japan, hunter, assassin, 19th century",2010,Restricted,141,A group of assassins come together for a suicide mission to kill an evil lord.,Japanese,"Japan, United Kingdom",http://ia.media-imdb.com/images/M/MV5BODg3MTYwODY3MF5BMl5BanBnXkFtZTcwMDk2MzYwNQ@@._V1_SX300.jpg,334902,103,7.6,"44,066",23,16,http://www.imdb.com/title/tt1436045/
16 Wishes (2010),Yes,3,Clear,Pass,Pass,Pass,"Drama, Family, Fantasy",Peter DeLuise,"Debby Ryan, Jean-Luc Bilodeau, Anna Mae Wills, Karissa Tynes","Unity Pictures Group, Marvista Entertainment","wish, female stuck in sticky substance, public humiliation, chore, party, loyalty, gift, locker room, metamorphosis, jealousy",2010,General Audience,90,"A 16 year old girl who has been preparing a list of 16 wishes for 8 years to make them come true on this day ""Her BDay"". A fairy comes and give her 16 candles that make the 16 wishes come ...",English,"Canada, United States",http://ia.media-imdb.com/images/M/MV5BMTY0ODk1OTI0MF5BMl5BanBnXkFtZTcwNTMyODMwNA@@._V1_SX300.jpg,28717,6,5.6,"5,128",1,1,http://www.imdb.com/title/tt1646876/
17 Girls (2011),Yes,3,Clear,Pass,Pass,Pass,Drama,"Delphine Coulin, Muriel Coulin","Louise Grinberg, Juliette Darche, Roxane Duran, Esther Garrel","Archipel 35, Arte France, Canal+","pregnant woman drinking, pregnant woman smoking, peer pressure, beach, teen bedroom, bunker, solidarity, unwanted pregnancy, medical examination, family planning",2011,Not Rated,86,"When Camille accidentally becomes pregnant, 16 of her friends and classmates decide to follow suit, throwing their town and school into chaos.",French,France,http://ia.media-imdb.com/images/M/MV5BMjMxMzAxNDcyNV5BMl5BanBnXkFtZTcwODM4MDQyOA@@._V1_SX300.jpg,11442,15,6,"1,907",5,2,http://www.imdb.com/title/tt1860152/
17 Miracles (2011),Yes,3,Clear,Pass,Pass,Pass,"Adventure, History",T.C. Christensen,"Jasen Wade, Emily Wadley, Jason Celaya, Natalie Blackman",Excel Entertainment Group,"snow, healing, winter, hunger, miracle, prayer, hardship, ration, rattlesnake, wolf",2011,Parental guidance,113,"As part of the Willie Handcart Company, Levi Savage (Jasen Wade) feared that leaving late in the season would lead to despair and death...",English,United States,http://ia.media-imdb.com/images/M/MV5BNTk2MjI1NDU1OF5BMl5BanBnXkFtZTcwMzQzNzk4Ng@@._V1_SX300.jpg,4002,,6,667,,,http://www.imdb.com/title/tt1909270/
18 comidas (2010),No,2,,Pass,Pass,Fail,"Comedy, Drama",Jorge Coira,"Luis Tosar, Federico Pérez Rey, Víctor Fábregas, Esperanza Pedreño","Tic Tac Producciones, ZircoZine, Lagarto Cine","homosexual, brother, the family, guitarist, dinner, food, breakfast, lunch, santiago spain",2010,,101,,"Spanish, Gallegan, English, Macedonian","Spain, Argentina",http://ia.media-imdb.com/images/M/MV5BMTM4Njc4NDc1MV5BMl5BanBnXkFtZTcwMjk5MjkwNw@@._V1_SX300.jpg,2176,30,6.4,340,5,5,http://www.imdb.com/title/tt1671616/
